index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;22;9;4;1000;16;0.0005;0.0005;0.0005
2;23;17;4;1000;16;0.0005;0.0005;0.0005
3;1;5;3;500;22;0.000375;0.000375;0.000375
4;21;11;4;1000;16;0.0005;0.0005;0.0005
5;29;19;4;1000;16;0.0005;0.0005;0.0005
6;22;17;4;1000;16;0.0005;0.0005;0.0005
7;4;9;3;500;22;0.000375;0.000375;0.000375
8;27;1;4;1000;16;0.0005;0.0005;0.0005
9;22;27;4;1000;16;0.0005;0.0005;0.0005
10;19;1;4;1000;16;0.0005;0.0005;0.0005
11;10;30;4;1000;16;0.0005;0.0005;0.0005
12;6;17;4;1000;16;0.0005;0.0005;0.0005
13;5;13;4;1000;16;0.0005;0.0005;0.0005
14;16;2;4;1000;16;0.0005;0.0005;0.0005
15;2;12;3;500;22;0.000375;0.000375;0.000375
16;28;8;4;1000;16;0.0005;0.0005;0.0005
17;11;16;3;500;22;0.000375;0.000375;0.000375
18;2;28;4;1000;16;0.0005;0.0005;0.0005
19;29;4;4;1000;16;0.0005;0.0005;0.0005
20;3;12;3;500;22;0.000375;0.000375;0.000375
21;5;27;3;500;22;0.000375;0.000375;0.000375
22;18;29;4;1000;16;0.0005;0.0005;0.0005
23;20;2;4;1000;16;0.0005;0.0005;0.0005
24;11;6;3;500;22;0.000375;0.000375;0.000375
25;9;17;3;500;22;0.000375;0.000375;0.000375
26;23;6;4;1000;16;0.0005;0.0005;0.0005
27;22;29;4;1000;16;0.0005;0.0005;0.0005
28;19;26;3;500;22;0.000375;0.000375;0.000375
29;18;16;3;500;22;0.000375;0.000375;0.000375
30;1;21;4;1000;16;0.0005;0.0005;0.0005
