index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;2;3;2000;15;0.000375;0.000375;0.000375
2;1;3;3;5000;13;0.000375;0.000375;0.000375
3;1;4;3;500;22;0.000375;0.000375;0.000375
4;1;5;6;1000;24;0.00075;0.00075;0.00075
5;1;6;3;5000;13;0.000375;0.000375;0.000375
6;1;7;3;500;22;0.000375;0.000375;0.000375
7;1;8;6;1000;24;0.00075;0.00075;0.00075
8;1;9;3;500;22;0.000375;0.000375;0.000375
9;1;10;6;2000;21;0.00075;0.00075;0.00075
10;2;3;6;2500;16;0.00075;0.00075;0.00075
11;2;4;3;500;22;0.000375;0.000375;0.000375
12;2;5;3;500;22;0.000375;0.000375;0.000375
13;2;6;3;5000;13;0.000375;0.000375;0.000375
14;2;7;3;5000;13;0.000375;0.000375;0.000375
15;2;8;3;2000;15;0.000375;0.000375;0.000375
16;2;9;4;1000;16;0.0005;0.0005;0.0005
17;2;10;3;500;22;0.000375;0.000375;0.000375
18;3;4;3;500;22;0.000375;0.000375;0.000375
19;3;5;3;500;22;0.000375;0.000375;0.000375
20;3;6;6;2500;16;0.00075;0.00075;0.00075
21;3;7;6;2500;16;0.00075;0.00075;0.00075
22;3;8;6;2000;21;0.00075;0.00075;0.00075
23;3;9;3;5000;13;0.000375;0.000375;0.000375
24;3;10;3;5000;13;0.000375;0.000375;0.000375
25;4;5;3;5000;13;0.000375;0.000375;0.000375
26;4;6;4;1000;16;0.0005;0.0005;0.0005
27;4;7;3;500;22;0.000375;0.000375;0.000375
28;4;8;4;1000;16;0.0005;0.0005;0.0005
29;4;9;4;1000;16;0.0005;0.0005;0.0005
30;4;10;3;500;22;0.000375;0.000375;0.000375
31;5;6;3;5000;13;0.000375;0.000375;0.000375
32;5;7;6;2500;16;0.00075;0.00075;0.00075
33;5;8;3;500;22;0.000375;0.000375;0.000375
34;5;9;6;1000;24;0.00075;0.00075;0.00075
35;5;10;6;2000;21;0.00075;0.00075;0.00075
36;6;7;4;1000;16;0.0005;0.0005;0.0005
37;6;8;6;2000;21;0.00075;0.00075;0.00075
38;6;9;6;1000;24;0.00075;0.00075;0.00075
39;6;10;6;2500;16;0.00075;0.00075;0.00075
40;7;8;3;2000;15;0.000375;0.000375;0.000375
41;7;9;6;2000;21;0.00075;0.00075;0.00075
42;7;10;3;2000;15;0.000375;0.000375;0.000375
43;8;9;3;5000;13;0.000375;0.000375;0.000375
44;8;10;6;2500;16;0.00075;0.00075;0.00075
45;9;10;3;500;22;0.000375;0.000375;0.000375
