index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;5;6;2500;16;0.00075;0.00075;0.00075
2;4;8;3;5000;13;0.000375;0.000375;0.000375
3;4;16;6;2000;21;0.00075;0.00075;0.00075
4;5;8;3;5000;13;0.000375;0.000375;0.000375
5;5;16;3;5000;13;0.000375;0.000375;0.000375
6;8;16;6;2000;21;0.00075;0.00075;0.00075
7;1;16;3;5000;13;0.000375;0.000375;0.000375
8;1;5;4;1000;16;0.0005;0.0005;0.0005
9;1;8;3;2000;15;0.000375;0.000375;0.000375
10;2;16;3;2000;15;0.000375;0.000375;0.000375
11;2;4;3;500;22;0.000375;0.000375;0.000375
12;2;8;6;2500;16;0.00075;0.00075;0.00075
13;3;16;3;5000;13;0.000375;0.000375;0.000375
14;3;4;6;2500;16;0.00075;0.00075;0.00075
15;3;5;3;2000;15;0.000375;0.000375;0.000375
16;5;6;4;1000;16;0.0005;0.0005;0.0005
17;6;16;6;2500;16;0.00075;0.00075;0.00075
18;4;6;6;2500;16;0.00075;0.00075;0.00075
19;7;8;6;2500;16;0.00075;0.00075;0.00075
20;4;7;6;2500;16;0.00075;0.00075;0.00075
21;7;16;6;1000;24;0.00075;0.00075;0.00075
22;8;9;6;1000;24;0.00075;0.00075;0.00075
23;4;9;4;1000;16;0.0005;0.0005;0.0005
24;5;9;6;2500;16;0.00075;0.00075;0.00075
25;10;16;6;1000;24;0.00075;0.00075;0.00075
26;4;10;6;1000;24;0.00075;0.00075;0.00075
27;8;10;6;2500;16;0.00075;0.00075;0.00075
28;8;11;3;2000;15;0.000375;0.000375;0.000375
29;11;16;6;2000;21;0.00075;0.00075;0.00075
30;4;11;6;2500;16;0.00075;0.00075;0.00075
31;12;16;3;2000;15;0.000375;0.000375;0.000375
32;4;12;6;2500;16;0.00075;0.00075;0.00075
33;5;12;6;2500;16;0.00075;0.00075;0.00075
34;5;13;6;2500;16;0.00075;0.00075;0.00075
35;8;13;3;2000;15;0.000375;0.000375;0.000375
36;13;16;6;2500;16;0.00075;0.00075;0.00075
37;5;14;3;2000;15;0.000375;0.000375;0.000375
38;4;14;3;5000;13;0.000375;0.000375;0.000375
39;8;14;3;2000;15;0.000375;0.000375;0.000375
40;8;15;6;1000;24;0.00075;0.00075;0.00075
41;4;15;3;5000;13;0.000375;0.000375;0.000375
42;5;15;3;2000;15;0.000375;0.000375;0.000375
43;16;17;3;5000;13;0.000375;0.000375;0.000375
44;8;17;4;1000;16;0.0005;0.0005;0.0005
45;4;17;3;5000;13;0.000375;0.000375;0.000375
46;8;18;3;5000;13;0.000375;0.000375;0.000375
47;16;18;6;2500;16;0.00075;0.00075;0.00075
48;5;18;3;500;22;0.000375;0.000375;0.000375
