index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;9;15;3;2000;15;0.000375;0.000375;0.000375
2;15;13;6;1000;24;0.00075;0.00075;0.00075
3;14;10;6;2000;21;0.00075;0.00075;0.00075
4;9;5;6;2000;21;0.00075;0.00075;0.00075
5;6;17;4;1000;16;0.0005;0.0005;0.0005
6;17;15;3;2000;15;0.000375;0.000375;0.000375
7;1;16;6;2500;16;0.00075;0.00075;0.00075
8;5;10;3;5000;13;0.000375;0.000375;0.000375
9;3;13;4;1000;16;0.0005;0.0005;0.0005
10;12;11;3;2000;15;0.000375;0.000375;0.000375
11;11;12;3;500;22;0.000375;0.000375;0.000375
12;8;15;3;5000;13;0.000375;0.000375;0.000375
13;14;16;6;2000;21;0.00075;0.00075;0.00075
14;6;5;3;500;22;0.000375;0.000375;0.000375
15;6;17;6;2000;21;0.00075;0.00075;0.00075
16;2;5;3;5000;13;0.000375;0.000375;0.000375
17;3;13;3;2000;15;0.000375;0.000375;0.000375
18;15;4;3;5000;13;0.000375;0.000375;0.000375
19;11;4;3;5000;13;0.000375;0.000375;0.000375
20;7;1;3;5000;13;0.000375;0.000375;0.000375
21;16;8;6;2500;16;0.00075;0.00075;0.00075
22;6;11;6;2000;21;0.00075;0.00075;0.00075
23;17;12;3;5000;13;0.000375;0.000375;0.000375
24;5;1;6;1000;24;0.00075;0.00075;0.00075
25;9;10;4;1000;16;0.0005;0.0005;0.0005
26;7;10;6;2500;16;0.00075;0.00075;0.00075
27;2;14;6;2500;16;0.00075;0.00075;0.00075
28;6;13;6;2500;16;0.00075;0.00075;0.00075
29;13;16;3;500;22;0.000375;0.000375;0.000375
30;7;16;6;2000;21;0.00075;0.00075;0.00075
31;6;7;3;2000;15;0.000375;0.000375;0.000375
32;9;1;3;500;22;0.000375;0.000375;0.000375
33;14;6;3;5000;13;0.000375;0.000375;0.000375
34;9;11;6;1000;24;0.00075;0.00075;0.00075
35;3;7;4;1000;16;0.0005;0.0005;0.0005
36;10;12;3;2000;15;0.000375;0.000375;0.000375
37;13;11;6;1000;24;0.00075;0.00075;0.00075
38;4;3;6;2000;21;0.00075;0.00075;0.00075
39;14;2;3;2000;15;0.000375;0.000375;0.000375
40;5;17;4;1000;16;0.0005;0.0005;0.0005
41;11;17;3;500;22;0.000375;0.000375;0.000375
42;8;9;4;1000;16;0.0005;0.0005;0.0005
43;9;15;6;2500;16;0.00075;0.00075;0.00075
44;5;6;6;1000;24;0.00075;0.00075;0.00075
45;15;7;6;2000;21;0.00075;0.00075;0.00075
46;16;7;3;2000;15;0.000375;0.000375;0.000375
47;1;2;3;500;22;0.000375;0.000375;0.000375
48;17;16;4;1000;16;0.0005;0.0005;0.0005
49;9;6;3;5000;13;0.000375;0.000375;0.000375
50;8;12;6;2500;16;0.00075;0.00075;0.00075
51;7;9;6;2000;21;0.00075;0.00075;0.00075
52;10;15;6;2500;16;0.00075;0.00075;0.00075
53;14;6;4;1000;16;0.0005;0.0005;0.0005
54;16;15;3;5000;13;0.000375;0.000375;0.000375
55;15;5;3;5000;13;0.000375;0.000375;0.000375
56;13;2;4;1000;16;0.0005;0.0005;0.0005
57;7;16;6;2500;16;0.00075;0.00075;0.00075
58;4;7;6;2500;16;0.00075;0.00075;0.00075
59;17;13;6;1000;24;0.00075;0.00075;0.00075
60;16;4;6;2000;21;0.00075;0.00075;0.00075
61;13;17;3;2000;15;0.000375;0.000375;0.000375
62;6;1;3;5000;13;0.000375;0.000375;0.000375
63;8;16;4;1000;16;0.0005;0.0005;0.0005
64;12;5;4;1000;16;0.0005;0.0005;0.0005
65;5;9;6;2000;21;0.00075;0.00075;0.00075
66;15;8;3;2000;15;0.000375;0.000375;0.000375
67;15;5;3;2000;15;0.000375;0.000375;0.000375
68;12;6;6;2500;16;0.00075;0.00075;0.00075
69;9;7;6;2500;16;0.00075;0.00075;0.00075
70;7;12;6;2000;21;0.00075;0.00075;0.00075
71;5;3;3;500;22;0.000375;0.000375;0.000375
72;2;4;3;2000;15;0.000375;0.000375;0.000375
73;7;8;6;2500;16;0.00075;0.00075;0.00075
74;17;6;3;5000;13;0.000375;0.000375;0.000375
75;11;13;3;500;22;0.000375;0.000375;0.000375
76;12;8;3;5000;13;0.000375;0.000375;0.000375
77;4;16;6;2000;21;0.00075;0.00075;0.00075
78;11;16;4;1000;16;0.0005;0.0005;0.0005
79;9;6;6;2000;21;0.00075;0.00075;0.00075
80;10;16;3;2000;15;0.000375;0.000375;0.000375
81;3;14;3;5000;13;0.000375;0.000375;0.000375
82;4;12;3;5000;13;0.000375;0.000375;0.000375
83;4;6;6;2500;16;0.00075;0.00075;0.00075
84;10;9;3;5000;13;0.000375;0.000375;0.000375
85;10;17;6;1000;24;0.00075;0.00075;0.00075
86;10;17;6;2000;21;0.00075;0.00075;0.00075
87;17;13;6;1000;24;0.00075;0.00075;0.00075
88;9;14;6;2000;21;0.00075;0.00075;0.00075
89;3;12;4;1000;16;0.0005;0.0005;0.0005
90;1;11;4;1000;16;0.0005;0.0005;0.0005
91;15;10;4;1000;16;0.0005;0.0005;0.0005
92;7;9;6;1000;24;0.00075;0.00075;0.00075
93;17;6;3;2000;15;0.000375;0.000375;0.000375
94;2;4;6;2500;16;0.00075;0.00075;0.00075
95;5;1;3;5000;13;0.000375;0.000375;0.000375
96;4;13;3;5000;13;0.000375;0.000375;0.000375
97;7;3;6;2500;16;0.00075;0.00075;0.00075
98;15;14;3;2000;15;0.000375;0.000375;0.000375
99;12;11;6;2500;16;0.00075;0.00075;0.00075
100;6;14;4;1000;16;0.0005;0.0005;0.0005
101;4;14;3;2000;15;0.000375;0.000375;0.000375
102;3;9;6;1000;24;0.00075;0.00075;0.00075
103;17;4;3;5000;13;0.000375;0.000375;0.000375
104;2;12;3;5000;13;0.000375;0.000375;0.000375
105;11;2;3;2000;15;0.000375;0.000375;0.000375
106;14;1;6;2000;21;0.00075;0.00075;0.00075
107;3;6;6;2000;21;0.00075;0.00075;0.00075
108;7;6;6;1000;24;0.00075;0.00075;0.00075
109;17;8;6;2500;16;0.00075;0.00075;0.00075
110;6;7;3;5000;13;0.000375;0.000375;0.000375
111;8;13;3;2000;15;0.000375;0.000375;0.000375
112;8;1;3;5000;13;0.000375;0.000375;0.000375
113;3;10;3;2000;15;0.000375;0.000375;0.000375
114;7;13;3;2000;15;0.000375;0.000375;0.000375
115;4;10;3;500;22;0.000375;0.000375;0.000375
116;5;10;6;1000;24;0.00075;0.00075;0.00075
117;1;5;6;2500;16;0.00075;0.00075;0.00075
118;5;6;3;5000;13;0.000375;0.000375;0.000375
119;14;16;6;1000;24;0.00075;0.00075;0.00075
120;9;13;6;2000;21;0.00075;0.00075;0.00075
