index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;16;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;14;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;8;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;10;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;10;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;9;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;10;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;14;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;8;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;13;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;7;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;15;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;14;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;14;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;1;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;9;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;17;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;6;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;16;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
26;16;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;12;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;14;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;11;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;3;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;12;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
33;14;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;11;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;12;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
36;13;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;17;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;2;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;3;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;11;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
42;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
44;3;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
45;10;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;16;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
47;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;7;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;2;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
50;15;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
