index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;8;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
2;9;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
3;6;5;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
4;5;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
5;1;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
6;1;13;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
7;8;14;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
8;14;9;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
9;8;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
10;9;14;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
11;12;7;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
12;11;10;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
13;1;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
14;1;4;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
15;7;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
16;14;9;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
17;9;12;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
18;7;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
19;8;6;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
20;9;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
21;1;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
22;14;5;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
23;4;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
24;5;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
25;1;13;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
26;7;10;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
27;11;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
28;1;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
29;2;1;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
30;9;7;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
31;2;14;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
32;9;14;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
33;7;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
34;10;12;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
35;3;12;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
36;12;11;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
37;6;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
38;11;14;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
39;7;9;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
40;7;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
41;13;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
42;9;13;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
43;3;5;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
44;3;6;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
45;14;11;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
46;4;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
47;12;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
48;1;3;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
49;5;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
50;4;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
51;11;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
52;13;8;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
53;5;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
54;14;12;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
55;13;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
56;13;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
57;13;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
58;5;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
59;4;6;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
60;12;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
