index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;8;6;1000;24;0.00075;0.00075;0.00075
2;1;1;6;1000;24;0.00075;0.00075;0.00075
3;1;5;6;1000;24;0.00075;0.00075;0.00075
4;1;10;6;1000;24;0.00075;0.00075;0.00075
5;1;4;6;1000;24;0.00075;0.00075;0.00075
6;1;7;6;1000;24;0.00075;0.00075;0.00075
7;1;9;6;1000;24;0.00075;0.00075;0.00075
8;1;2;6;1000;24;0.00075;0.00075;0.00075
9;2;5;6;1000;24;0.00075;0.00075;0.00075
10;2;6;6;1000;24;0.00075;0.00075;0.00075
11;2;2;6;1000;24;0.00075;0.00075;0.00075
12;2;9;6;1000;24;0.00075;0.00075;0.00075
13;2;10;6;1000;24;0.00075;0.00075;0.00075
14;2;7;6;1000;24;0.00075;0.00075;0.00075
15;2;4;6;1000;24;0.00075;0.00075;0.00075
16;2;3;6;1000;24;0.00075;0.00075;0.00075
17;3;3;6;1000;24;0.00075;0.00075;0.00075
18;3;5;6;1000;24;0.00075;0.00075;0.00075
19;3;2;6;1000;24;0.00075;0.00075;0.00075
20;3;10;6;1000;24;0.00075;0.00075;0.00075
21;3;6;6;1000;24;0.00075;0.00075;0.00075
22;3;1;6;1000;24;0.00075;0.00075;0.00075
23;3;9;6;1000;24;0.00075;0.00075;0.00075
24;3;4;6;1000;24;0.00075;0.00075;0.00075
25;4;4;6;1000;24;0.00075;0.00075;0.00075
26;4;5;6;1000;24;0.00075;0.00075;0.00075
27;4;1;6;1000;24;0.00075;0.00075;0.00075
28;4;2;6;1000;24;0.00075;0.00075;0.00075
29;4;6;6;1000;24;0.00075;0.00075;0.00075
30;4;10;6;1000;24;0.00075;0.00075;0.00075
31;4;3;6;1000;24;0.00075;0.00075;0.00075
32;4;8;6;1000;24;0.00075;0.00075;0.00075
33;5;9;6;1000;24;0.00075;0.00075;0.00075
34;5;4;6;1000;24;0.00075;0.00075;0.00075
35;5;6;6;1000;24;0.00075;0.00075;0.00075
36;5;1;6;1000;24;0.00075;0.00075;0.00075
37;5;2;6;1000;24;0.00075;0.00075;0.00075
38;5;3;6;1000;24;0.00075;0.00075;0.00075
39;5;7;6;1000;24;0.00075;0.00075;0.00075
40;5;8;6;1000;24;0.00075;0.00075;0.00075
41;6;9;6;1000;24;0.00075;0.00075;0.00075
42;6;10;6;1000;24;0.00075;0.00075;0.00075
43;6;5;6;1000;24;0.00075;0.00075;0.00075
44;6;7;6;1000;24;0.00075;0.00075;0.00075
45;6;2;6;1000;24;0.00075;0.00075;0.00075
46;6;8;6;1000;24;0.00075;0.00075;0.00075
47;6;1;6;1000;24;0.00075;0.00075;0.00075
48;6;3;6;1000;24;0.00075;0.00075;0.00075
49;7;2;6;1000;24;0.00075;0.00075;0.00075
50;7;9;6;1000;24;0.00075;0.00075;0.00075
51;7;1;6;1000;24;0.00075;0.00075;0.00075
52;7;10;6;1000;24;0.00075;0.00075;0.00075
53;7;7;6;1000;24;0.00075;0.00075;0.00075
54;7;4;6;1000;24;0.00075;0.00075;0.00075
55;7;5;6;1000;24;0.00075;0.00075;0.00075
56;7;8;6;1000;24;0.00075;0.00075;0.00075
57;8;1;6;1000;24;0.00075;0.00075;0.00075
58;8;10;6;1000;24;0.00075;0.00075;0.00075
59;8;4;6;1000;24;0.00075;0.00075;0.00075
60;8;6;6;1000;24;0.00075;0.00075;0.00075
61;8;7;6;1000;24;0.00075;0.00075;0.00075
62;8;5;6;1000;24;0.00075;0.00075;0.00075
63;8;2;6;1000;24;0.00075;0.00075;0.00075
64;8;9;6;1000;24;0.00075;0.00075;0.00075
65;9;6;6;1000;24;0.00075;0.00075;0.00075
66;9;7;6;1000;24;0.00075;0.00075;0.00075
67;9;9;6;1000;24;0.00075;0.00075;0.00075
68;9;5;6;1000;24;0.00075;0.00075;0.00075
69;9;2;6;1000;24;0.00075;0.00075;0.00075
70;9;10;6;1000;24;0.00075;0.00075;0.00075
71;9;3;6;1000;24;0.00075;0.00075;0.00075
72;9;1;6;1000;24;0.00075;0.00075;0.00075
73;10;9;6;1000;24;0.00075;0.00075;0.00075
74;10;1;6;1000;24;0.00075;0.00075;0.00075
75;10;4;6;1000;24;0.00075;0.00075;0.00075
76;10;8;6;1000;24;0.00075;0.00075;0.00075
77;10;6;6;1000;24;0.00075;0.00075;0.00075
78;10;2;6;1000;24;0.00075;0.00075;0.00075
79;10;3;6;1000;24;0.00075;0.00075;0.00075
80;10;7;6;1000;24;0.00075;0.00075;0.00075
