index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;17;2;6;2000;21;0.00075;0.00075;0.00075
2;13;2;6;2000;21;0.00075;0.00075;0.00075
3;3;13;6;2000;21;0.00075;0.00075;0.00075
4;11;3;6;1000;24;0.00075;0.00075;0.00075
5;9;14;6;2000;21;0.00075;0.00075;0.00075
6;2;17;6;2000;21;0.00075;0.00075;0.00075
7;5;14;6;2000;21;0.00075;0.00075;0.00075
8;6;17;6;2000;21;0.00075;0.00075;0.00075
9;5;17;6;2000;21;0.00075;0.00075;0.00075
10;11;4;6;1000;24;0.00075;0.00075;0.00075
11;9;15;6;2000;21;0.00075;0.00075;0.00075
12;6;5;6;1000;24;0.00075;0.00075;0.00075
13;14;10;6;2000;21;0.00075;0.00075;0.00075
14;14;8;6;1000;24;0.00075;0.00075;0.00075
15;1;6;6;1000;24;0.00075;0.00075;0.00075
16;4;3;6;1000;24;0.00075;0.00075;0.00075
17;12;10;6;1000;24;0.00075;0.00075;0.00075
18;12;5;6;1000;24;0.00075;0.00075;0.00075
19;3;5;6;1000;24;0.00075;0.00075;0.00075
20;10;13;6;1000;24;0.00075;0.00075;0.00075
21;6;13;6;2000;21;0.00075;0.00075;0.00075
22;2;12;6;2000;21;0.00075;0.00075;0.00075
23;14;5;6;2000;21;0.00075;0.00075;0.00075
24;15;16;6;1000;24;0.00075;0.00075;0.00075
25;11;12;6;1000;24;0.00075;0.00075;0.00075
26;1;5;6;1000;24;0.00075;0.00075;0.00075
27;14;13;6;1000;24;0.00075;0.00075;0.00075
28;1;8;6;1000;24;0.00075;0.00075;0.00075
29;5;8;6;1000;24;0.00075;0.00075;0.00075
30;3;17;6;2000;21;0.00075;0.00075;0.00075
31;7;13;6;1000;24;0.00075;0.00075;0.00075
32;3;4;6;1000;24;0.00075;0.00075;0.00075
33;5;14;6;2000;21;0.00075;0.00075;0.00075
34;4;1;6;2000;21;0.00075;0.00075;0.00075
35;15;14;6;1000;24;0.00075;0.00075;0.00075
36;11;1;6;2000;21;0.00075;0.00075;0.00075
37;12;4;6;2000;21;0.00075;0.00075;0.00075
38;15;12;6;1000;24;0.00075;0.00075;0.00075
39;16;3;6;2000;21;0.00075;0.00075;0.00075
40;10;9;6;1000;24;0.00075;0.00075;0.00075
