index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;17;5;6;2000;21;0.00075;0.00075;0.00075
2;8;5;6;1000;24;0.00075;0.00075;0.00075
3;16;1;6;2500;16;0.00075;0.00075;0.00075
4;17;16;6;1000;24;0.00075;0.00075;0.00075
5;13;14;6;1000;24;0.00075;0.00075;0.00075
6;9;6;6;1000;24;0.00075;0.00075;0.00075
7;12;6;6;2000;21;0.00075;0.00075;0.00075
8;2;14;6;2000;21;0.00075;0.00075;0.00075
9;2;16;6;2000;21;0.00075;0.00075;0.00075
10;6;12;6;2000;21;0.00075;0.00075;0.00075
11;13;12;6;1000;24;0.00075;0.00075;0.00075
12;9;5;6;1000;24;0.00075;0.00075;0.00075
13;10;12;6;1000;24;0.00075;0.00075;0.00075
14;11;3;6;1000;24;0.00075;0.00075;0.00075
15;9;10;6;1000;24;0.00075;0.00075;0.00075
16;6;3;6;1000;24;0.00075;0.00075;0.00075
17;4;2;6;1000;24;0.00075;0.00075;0.00075
18;7;17;6;2000;21;0.00075;0.00075;0.00075
19;7;8;6;1000;24;0.00075;0.00075;0.00075
20;7;6;6;1000;24;0.00075;0.00075;0.00075
21;3;5;6;1000;24;0.00075;0.00075;0.00075
22;17;4;6;2000;21;0.00075;0.00075;0.00075
23;15;12;6;1000;24;0.00075;0.00075;0.00075
24;3;8;6;1000;24;0.00075;0.00075;0.00075
25;3;16;6;2000;21;0.00075;0.00075;0.00075
26;5;16;6;2000;21;0.00075;0.00075;0.00075
27;11;16;6;2000;21;0.00075;0.00075;0.00075
28;11;9;6;1000;24;0.00075;0.00075;0.00075
29;12;8;6;1000;24;0.00075;0.00075;0.00075
30;17;11;6;1000;24;0.00075;0.00075;0.00075
31;17;16;6;1000;24;0.00075;0.00075;0.00075
32;7;10;6;2000;21;0.00075;0.00075;0.00075
33;4;14;6;2000;21;0.00075;0.00075;0.00075
34;4;11;6;1000;24;0.00075;0.00075;0.00075
35;12;14;6;1000;24;0.00075;0.00075;0.00075
36;10;9;6;1000;24;0.00075;0.00075;0.00075
37;8;15;6;2000;21;0.00075;0.00075;0.00075
38;8;17;6;2000;21;0.00075;0.00075;0.00075
39;4;1;6;2000;21;0.00075;0.00075;0.00075
40;14;10;6;2000;21;0.00075;0.00075;0.00075
41;4;10;6;1000;24;0.00075;0.00075;0.00075
42;10;6;6;1000;24;0.00075;0.00075;0.00075
43;14;6;6;2000;21;0.00075;0.00075;0.00075
44;14;5;6;2000;21;0.00075;0.00075;0.00075
45;4;11;6;1000;24;0.00075;0.00075;0.00075
46;11;12;6;1000;24;0.00075;0.00075;0.00075
47;7;1;6;1000;24;0.00075;0.00075;0.00075
48;4;16;6;2000;21;0.00075;0.00075;0.00075
49;10;9;6;1000;24;0.00075;0.00075;0.00075
50;9;11;6;1000;24;0.00075;0.00075;0.00075
51;13;15;6;1000;24;0.00075;0.00075;0.00075
52;17;4;6;2000;21;0.00075;0.00075;0.00075
53;17;1;6;2000;21;0.00075;0.00075;0.00075
54;11;13;6;1000;24;0.00075;0.00075;0.00075
55;11;2;6;1000;24;0.00075;0.00075;0.00075
56;5;7;6;1000;24;0.00075;0.00075;0.00075
57;14;2;6;2000;21;0.00075;0.00075;0.00075
58;8;9;6;1000;24;0.00075;0.00075;0.00075
59;9;13;6;2000;21;0.00075;0.00075;0.00075
60;2;9;6;1000;24;0.00075;0.00075;0.00075
