index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;7;6;3;500;22;0.000375;0.000375;0.000375
2;2;10;3;500;22;0.000375;0.000375;0.000375
3;7;3;3;500;22;0.000375;0.000375;0.000375
4;5;2;3;500;22;0.000375;0.000375;0.000375
5;2;9;3;500;22;0.000375;0.000375;0.000375
6;7;10;3;500;22;0.000375;0.000375;0.000375
7;9;8;3;500;22;0.000375;0.000375;0.000375
8;5;6;3;500;22;0.000375;0.000375;0.000375
9;5;7;3;500;22;0.000375;0.000375;0.000375
10;9;4;3;500;22;0.000375;0.000375;0.000375
11;1;9;3;500;22;0.000375;0.000375;0.000375
12;4;2;3;500;22;0.000375;0.000375;0.000375
13;9;6;3;500;22;0.000375;0.000375;0.000375
14;10;3;3;500;22;0.000375;0.000375;0.000375
15;10;9;3;500;22;0.000375;0.000375;0.000375
16;5;9;3;500;22;0.000375;0.000375;0.000375
17;9;8;3;500;22;0.000375;0.000375;0.000375
18;10;8;3;500;22;0.000375;0.000375;0.000375
19;5;4;4;1000;16;0.0005;0.0005;0.0005
20;1;8;3;500;22;0.000375;0.000375;0.000375
21;2;10;3;500;22;0.000375;0.000375;0.000375
22;5;10;3;500;22;0.000375;0.000375;0.000375
23;3;10;3;500;22;0.000375;0.000375;0.000375
24;8;4;3;500;22;0.000375;0.000375;0.000375
25;8;1;3;500;22;0.000375;0.000375;0.000375
26;1;7;3;500;22;0.000375;0.000375;0.000375
27;3;1;3;500;22;0.000375;0.000375;0.000375
28;9;10;3;500;22;0.000375;0.000375;0.000375
29;7;3;3;500;22;0.000375;0.000375;0.000375
30;7;2;3;500;22;0.000375;0.000375;0.000375
31;7;8;3;500;22;0.000375;0.000375;0.000375
32;10;8;3;500;22;0.000375;0.000375;0.000375
33;7;5;3;500;22;0.000375;0.000375;0.000375
34;3;2;3;500;22;0.000375;0.000375;0.000375
35;7;8;3;500;22;0.000375;0.000375;0.000375
36;1;5;3;500;22;0.000375;0.000375;0.000375
37;10;8;3;500;22;0.000375;0.000375;0.000375
38;1;9;3;500;22;0.000375;0.000375;0.000375
39;2;1;3;500;22;0.000375;0.000375;0.000375
40;9;10;3;500;22;0.000375;0.000375;0.000375
41;8;4;3;500;22;0.000375;0.000375;0.000375
42;8;6;3;500;22;0.000375;0.000375;0.000375
43;7;5;3;500;22;0.000375;0.000375;0.000375
44;3;9;3;500;22;0.000375;0.000375;0.000375
45;2;5;3;500;22;0.000375;0.000375;0.000375
46;5;1;3;500;22;0.000375;0.000375;0.000375
47;5;3;3;500;22;0.000375;0.000375;0.000375
48;9;5;3;500;22;0.000375;0.000375;0.000375
49;9;7;3;500;22;0.000375;0.000375;0.000375
50;1;8;3;500;22;0.000375;0.000375;0.000375
