index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;6;3;500;22;0.000375;0.000375;0.000375
2;1;4;3;500;22;0.000375;0.000375;0.000375
3;1;3;3;500;22;0.000375;0.000375;0.000375
4;1;1;3;500;22;0.000375;0.000375;0.000375
5;1;5;3;500;22;0.000375;0.000375;0.000375
6;2;2;3;500;22;0.000375;0.000375;0.000375
7;2;6;3;500;22;0.000375;0.000375;0.000375
8;2;1;3;500;22;0.000375;0.000375;0.000375
9;2;9;3;500;22;0.000375;0.000375;0.000375
10;2;4;3;500;22;0.000375;0.000375;0.000375
11;3;5;3;500;22;0.000375;0.000375;0.000375
12;3;10;3;500;22;0.000375;0.000375;0.000375
13;3;9;3;500;22;0.000375;0.000375;0.000375
14;3;7;3;500;22;0.000375;0.000375;0.000375
15;3;1;3;500;22;0.000375;0.000375;0.000375
16;4;8;3;500;22;0.000375;0.000375;0.000375
17;4;5;4;1000;16;0.0005;0.0005;0.0005
18;4;7;3;500;22;0.000375;0.000375;0.000375
19;4;10;3;500;22;0.000375;0.000375;0.000375
20;4;4;3;500;22;0.000375;0.000375;0.000375
21;5;4;4;1000;16;0.0005;0.0005;0.0005
22;5;3;3;500;22;0.000375;0.000375;0.000375
23;5;5;3;500;22;0.000375;0.000375;0.000375
24;5;7;3;500;22;0.000375;0.000375;0.000375
25;5;2;3;500;22;0.000375;0.000375;0.000375
26;6;1;3;500;22;0.000375;0.000375;0.000375
27;6;4;3;500;22;0.000375;0.000375;0.000375
28;6;7;3;500;22;0.000375;0.000375;0.000375
29;6;9;3;500;22;0.000375;0.000375;0.000375
30;6;3;3;500;22;0.000375;0.000375;0.000375
31;7;9;3;500;22;0.000375;0.000375;0.000375
32;7;4;3;500;22;0.000375;0.000375;0.000375
33;7;1;3;500;22;0.000375;0.000375;0.000375
34;7;6;3;500;22;0.000375;0.000375;0.000375
35;7;2;3;500;22;0.000375;0.000375;0.000375
36;8;10;3;500;22;0.000375;0.000375;0.000375
37;8;4;3;500;22;0.000375;0.000375;0.000375
38;8;5;3;500;22;0.000375;0.000375;0.000375
39;8;7;3;500;22;0.000375;0.000375;0.000375
40;8;3;3;500;22;0.000375;0.000375;0.000375
41;9;1;3;500;22;0.000375;0.000375;0.000375
42;9;9;3;500;22;0.000375;0.000375;0.000375
43;9;4;3;500;22;0.000375;0.000375;0.000375
44;9;2;3;500;22;0.000375;0.000375;0.000375
45;9;7;3;500;22;0.000375;0.000375;0.000375
46;10;3;3;500;22;0.000375;0.000375;0.000375
47;10;6;3;500;22;0.000375;0.000375;0.000375
48;10;7;3;500;22;0.000375;0.000375;0.000375
49;10;9;3;500;22;0.000375;0.000375;0.000375
50;10;4;3;500;22;0.000375;0.000375;0.000375
