index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;3;3;500;22;0.000375;0.000375;0.000375
2;1;5;3;500;22;0.000375;0.000375;0.000375
3;1;2;3;500;22;0.000375;0.000375;0.000375
4;2;7;3;500;22;0.000375;0.000375;0.000375
5;2;2;3;500;22;0.000375;0.000375;0.000375
6;2;4;3;500;22;0.000375;0.000375;0.000375
7;3;4;3;500;22;0.000375;0.000375;0.000375
8;3;7;3;500;22;0.000375;0.000375;0.000375
9;3;3;3;500;22;0.000375;0.000375;0.000375
10;4;8;3;500;22;0.000375;0.000375;0.000375
11;4;6;3;500;22;0.000375;0.000375;0.000375
12;4;5;3;500;22;0.000375;0.000375;0.000375
13;5;11;4;1000;16;0.0005;0.0005;0.0005
14;5;6;3;500;22;0.000375;0.000375;0.000375
15;5;5;3;500;22;0.000375;0.000375;0.000375
16;6;2;3;500;22;0.000375;0.000375;0.000375
17;6;4;3;500;22;0.000375;0.000375;0.000375
18;6;9;3;500;22;0.000375;0.000375;0.000375
19;7;5;3;500;22;0.000375;0.000375;0.000375
20;7;1;3;500;22;0.000375;0.000375;0.000375
21;7;3;3;500;22;0.000375;0.000375;0.000375
22;8;10;3;500;22;0.000375;0.000375;0.000375
23;8;9;3;500;22;0.000375;0.000375;0.000375
24;8;4;3;500;22;0.000375;0.000375;0.000375
25;9;1;3;500;22;0.000375;0.000375;0.000375
26;9;10;3;500;22;0.000375;0.000375;0.000375
27;9;2;4;1000;16;0.0005;0.0005;0.0005
28;10;2;3;500;22;0.000375;0.000375;0.000375
29;10;3;3;500;22;0.000375;0.000375;0.000375
30;10;12;3;500;22;0.000375;0.000375;0.000375
31;11;2;3;500;22;0.000375;0.000375;0.000375
32;11;1;3;500;22;0.000375;0.000375;0.000375
33;11;11;3;500;22;0.000375;0.000375;0.000375
34;12;6;3;500;22;0.000375;0.000375;0.000375
35;12;4;3;500;22;0.000375;0.000375;0.000375
36;12;10;3;500;22;0.000375;0.000375;0.000375
