index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;6;3;500;22;0.000375;0.000375;0.000375
2;7;17;4;1000;16;0.0005;0.0005;0.0005
3;14;2;4;1000;16;0.0005;0.0005;0.0005
4;8;4;4;1000;16;0.0005;0.0005;0.0005
5;5;11;3;500;22;0.000375;0.000375;0.000375
6;11;13;3;500;22;0.000375;0.000375;0.000375
7;10;7;4;1000;16;0.0005;0.0005;0.0005
8;16;13;3;500;22;0.000375;0.000375;0.000375
9;6;9;3;500;22;0.000375;0.000375;0.000375
10;1;13;4;1000;16;0.0005;0.0005;0.0005
11;11;2;4;1000;16;0.0005;0.0005;0.0005
12;6;10;4;1000;16;0.0005;0.0005;0.0005
13;1;16;4;1000;16;0.0005;0.0005;0.0005
14;15;1;4;1000;16;0.0005;0.0005;0.0005
15;12;6;4;1000;16;0.0005;0.0005;0.0005
16;11;14;3;500;22;0.000375;0.000375;0.000375
17;11;16;4;1000;16;0.0005;0.0005;0.0005
18;9;16;4;1000;16;0.0005;0.0005;0.0005
19;13;5;4;1000;16;0.0005;0.0005;0.0005
20;3;6;4;1000;16;0.0005;0.0005;0.0005
21;12;3;4;1000;16;0.0005;0.0005;0.0005
22;10;7;4;1000;16;0.0005;0.0005;0.0005
23;15;14;3;500;22;0.000375;0.000375;0.000375
24;15;2;4;1000;16;0.0005;0.0005;0.0005
25;6;10;4;1000;16;0.0005;0.0005;0.0005
26;6;10;4;1000;16;0.0005;0.0005;0.0005
27;3;11;4;1000;16;0.0005;0.0005;0.0005
28;11;15;4;1000;16;0.0005;0.0005;0.0005
29;5;13;4;1000;16;0.0005;0.0005;0.0005
30;17;16;3;500;22;0.000375;0.000375;0.000375
31;12;6;4;1000;16;0.0005;0.0005;0.0005
32;8;6;3;500;22;0.000375;0.000375;0.000375
33;12;13;3;500;22;0.000375;0.000375;0.000375
34;3;7;4;1000;16;0.0005;0.0005;0.0005
35;7;17;4;1000;16;0.0005;0.0005;0.0005
36;1;7;4;1000;16;0.0005;0.0005;0.0005
37;4;11;4;1000;16;0.0005;0.0005;0.0005
38;9;12;4;1000;16;0.0005;0.0005;0.0005
39;8;15;4;1000;16;0.0005;0.0005;0.0005
40;17;2;4;1000;16;0.0005;0.0005;0.0005
41;5;7;4;1000;16;0.0005;0.0005;0.0005
42;6;14;4;1000;16;0.0005;0.0005;0.0005
43;10;4;3;500;22;0.000375;0.000375;0.000375
44;13;17;3;500;22;0.000375;0.000375;0.000375
45;12;13;3;500;22;0.000375;0.000375;0.000375
46;7;4;4;1000;16;0.0005;0.0005;0.0005
47;7;1;4;1000;16;0.0005;0.0005;0.0005
48;17;7;4;1000;16;0.0005;0.0005;0.0005
49;1;7;4;1000;16;0.0005;0.0005;0.0005
50;9;3;3;500;22;0.000375;0.000375;0.000375
51;16;6;4;1000;16;0.0005;0.0005;0.0005
52;16;5;4;1000;16;0.0005;0.0005;0.0005
53;1;3;3;500;22;0.000375;0.000375;0.000375
54;4;9;4;1000;16;0.0005;0.0005;0.0005
55;14;2;4;1000;16;0.0005;0.0005;0.0005
56;4;5;3;500;22;0.000375;0.000375;0.000375
57;8;10;4;1000;16;0.0005;0.0005;0.0005
58;6;13;4;1000;16;0.0005;0.0005;0.0005
59;12;8;3;500;22;0.000375;0.000375;0.000375
60;13;10;3;500;22;0.000375;0.000375;0.000375
61;15;1;4;1000;16;0.0005;0.0005;0.0005
62;17;11;3;500;22;0.000375;0.000375;0.000375
63;8;6;3;500;22;0.000375;0.000375;0.000375
64;8;14;4;1000;16;0.0005;0.0005;0.0005
65;3;2;3;500;22;0.000375;0.000375;0.000375
66;7;3;4;1000;16;0.0005;0.0005;0.0005
67;9;17;4;1000;16;0.0005;0.0005;0.0005
68;7;9;3;500;22;0.000375;0.000375;0.000375
69;3;6;4;1000;16;0.0005;0.0005;0.0005
70;5;16;4;1000;16;0.0005;0.0005;0.0005
71;15;1;4;1000;16;0.0005;0.0005;0.0005
72;8;2;4;1000;16;0.0005;0.0005;0.0005
73;3;13;4;1000;16;0.0005;0.0005;0.0005
74;5;2;3;500;22;0.000375;0.000375;0.000375
75;10;9;3;500;22;0.000375;0.000375;0.000375
76;1;17;4;1000;16;0.0005;0.0005;0.0005
77;4;9;4;1000;16;0.0005;0.0005;0.0005
78;3;4;3;500;22;0.000375;0.000375;0.000375
79;1;4;4;1000;16;0.0005;0.0005;0.0005
80;3;16;4;1000;16;0.0005;0.0005;0.0005
81;1;4;4;1000;16;0.0005;0.0005;0.0005
82;6;10;4;1000;16;0.0005;0.0005;0.0005
83;16;14;3;500;22;0.000375;0.000375;0.000375
84;5;10;3;500;22;0.000375;0.000375;0.000375
85;1;6;4;1000;16;0.0005;0.0005;0.0005
86;14;10;4;1000;16;0.0005;0.0005;0.0005
87;17;15;3;500;22;0.000375;0.000375;0.000375
88;7;14;4;1000;16;0.0005;0.0005;0.0005
89;16;6;4;1000;16;0.0005;0.0005;0.0005
90;9;1;3;500;22;0.000375;0.000375;0.000375
91;15;8;4;1000;16;0.0005;0.0005;0.0005
92;9;3;3;500;22;0.000375;0.000375;0.000375
93;8;16;4;1000;16;0.0005;0.0005;0.0005
94;16;7;4;1000;16;0.0005;0.0005;0.0005
95;12;6;4;1000;16;0.0005;0.0005;0.0005
96;5;9;3;500;22;0.000375;0.000375;0.000375
97;5;10;3;500;22;0.000375;0.000375;0.000375
98;14;9;4;1000;16;0.0005;0.0005;0.0005
99;11;4;4;1000;16;0.0005;0.0005;0.0005
100;4;16;4;1000;16;0.0005;0.0005;0.0005
101;4;3;3;500;22;0.000375;0.000375;0.000375
102;15;17;3;500;22;0.000375;0.000375;0.000375
103;15;5;4;1000;16;0.0005;0.0005;0.0005
104;8;1;4;1000;16;0.0005;0.0005;0.0005
105;9;14;4;1000;16;0.0005;0.0005;0.0005
106;6;2;4;1000;16;0.0005;0.0005;0.0005
107;2;9;3;500;22;0.000375;0.000375;0.000375
108;8;2;4;1000;16;0.0005;0.0005;0.0005
109;2;9;3;500;22;0.000375;0.000375;0.000375
110;10;4;3;500;22;0.000375;0.000375;0.000375
111;14;5;4;1000;16;0.0005;0.0005;0.0005
112;5;3;3;500;22;0.000375;0.000375;0.000375
113;12;13;3;500;22;0.000375;0.000375;0.000375
114;16;13;3;500;22;0.000375;0.000375;0.000375
115;9;13;4;1000;16;0.0005;0.0005;0.0005
116;11;1;4;1000;16;0.0005;0.0005;0.0005
117;3;8;4;1000;16;0.0005;0.0005;0.0005
118;2;15;4;1000;16;0.0005;0.0005;0.0005
119;9;17;4;1000;16;0.0005;0.0005;0.0005
120;17;1;4;1000;16;0.0005;0.0005;0.0005
