index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;12;9;4;1000;16;0.0005;0.0005;0.0005
2;12;8;3;500;22;0.000375;0.000375;0.000375
3;16;6;4;1000;16;0.0005;0.0005;0.0005
4;11;15;4;1000;16;0.0005;0.0005;0.0005
5;11;10;3;500;22;0.000375;0.000375;0.000375
6;8;17;4;1000;16;0.0005;0.0005;0.0005
7;14;12;3;500;22;0.000375;0.000375;0.000375
8;1;7;4;1000;16;0.0005;0.0005;0.0005
9;9;1;3;500;22;0.000375;0.000375;0.000375
10;4;6;4;1000;16;0.0005;0.0005;0.0005
11;5;14;4;1000;16;0.0005;0.0005;0.0005
12;17;7;4;1000;16;0.0005;0.0005;0.0005
13;2;13;4;1000;16;0.0005;0.0005;0.0005
14;9;14;4;1000;16;0.0005;0.0005;0.0005
15;3;16;4;1000;16;0.0005;0.0005;0.0005
16;1;5;3;500;22;0.000375;0.000375;0.000375
17;10;6;4;1000;16;0.0005;0.0005;0.0005
18;3;8;4;1000;16;0.0005;0.0005;0.0005
19;8;17;4;1000;16;0.0005;0.0005;0.0005
20;5;2;3;500;22;0.000375;0.000375;0.000375
21;10;1;4;1000;16;0.0005;0.0005;0.0005
22;1;4;4;1000;16;0.0005;0.0005;0.0005
23;3;6;4;1000;16;0.0005;0.0005;0.0005
24;17;15;3;500;22;0.000375;0.000375;0.000375
25;6;16;4;1000;16;0.0005;0.0005;0.0005
26;14;4;4;1000;16;0.0005;0.0005;0.0005
27;6;8;3;500;22;0.000375;0.000375;0.000375
28;1;11;4;1000;16;0.0005;0.0005;0.0005
29;1;6;4;1000;16;0.0005;0.0005;0.0005
30;8;7;3;500;22;0.000375;0.000375;0.000375
31;15;6;4;1000;16;0.0005;0.0005;0.0005
32;8;14;4;1000;16;0.0005;0.0005;0.0005
33;8;11;3;500;22;0.000375;0.000375;0.000375
34;12;3;4;1000;16;0.0005;0.0005;0.0005
35;17;7;4;1000;16;0.0005;0.0005;0.0005
36;12;14;3;500;22;0.000375;0.000375;0.000375
37;15;17;3;500;22;0.000375;0.000375;0.000375
38;5;3;3;500;22;0.000375;0.000375;0.000375
39;7;9;3;500;22;0.000375;0.000375;0.000375
40;15;17;3;500;22;0.000375;0.000375;0.000375
41;17;4;4;1000;16;0.0005;0.0005;0.0005
42;1;12;4;1000;16;0.0005;0.0005;0.0005
43;14;12;3;500;22;0.000375;0.000375;0.000375
44;5;6;3;500;22;0.000375;0.000375;0.000375
45;10;4;3;500;22;0.000375;0.000375;0.000375
46;3;9;3;500;22;0.000375;0.000375;0.000375
47;9;17;4;1000;16;0.0005;0.0005;0.0005
48;16;15;3;500;22;0.000375;0.000375;0.000375
49;11;15;4;1000;16;0.0005;0.0005;0.0005
50;9;4;4;1000;16;0.0005;0.0005;0.0005
51;10;5;3;500;22;0.000375;0.000375;0.000375
52;1;8;4;1000;16;0.0005;0.0005;0.0005
53;2;14;4;1000;16;0.0005;0.0005;0.0005
54;11;7;3;500;22;0.000375;0.000375;0.000375
55;14;10;4;1000;16;0.0005;0.0005;0.0005
56;10;14;4;1000;16;0.0005;0.0005;0.0005
57;5;13;4;1000;16;0.0005;0.0005;0.0005
58;16;9;4;1000;16;0.0005;0.0005;0.0005
59;5;7;4;1000;16;0.0005;0.0005;0.0005
60;8;7;3;500;22;0.000375;0.000375;0.000375
61;15;7;4;1000;16;0.0005;0.0005;0.0005
62;3;10;3;500;22;0.000375;0.000375;0.000375
63;9;5;3;500;22;0.000375;0.000375;0.000375
64;10;3;3;500;22;0.000375;0.000375;0.000375
65;2;6;4;1000;16;0.0005;0.0005;0.0005
66;15;4;4;1000;16;0.0005;0.0005;0.0005
67;4;13;4;1000;16;0.0005;0.0005;0.0005
68;14;12;3;500;22;0.000375;0.000375;0.000375
69;16;9;4;1000;16;0.0005;0.0005;0.0005
70;7;14;4;1000;16;0.0005;0.0005;0.0005
71;9;7;3;500;22;0.000375;0.000375;0.000375
72;11;7;3;500;22;0.000375;0.000375;0.000375
73;12;13;3;500;22;0.000375;0.000375;0.000375
74;12;9;4;1000;16;0.0005;0.0005;0.0005
75;13;11;3;500;22;0.000375;0.000375;0.000375
76;14;4;4;1000;16;0.0005;0.0005;0.0005
77;14;13;3;500;22;0.000375;0.000375;0.000375
78;14;5;4;1000;16;0.0005;0.0005;0.0005
79;13;14;3;500;22;0.000375;0.000375;0.000375
80;3;14;4;1000;16;0.0005;0.0005;0.0005
