index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;8;4;1000;16;0.0005;0.0005;0.0005
2;8;1;3;5000;13;0.000375;0.000375;0.000375
3;7;2;3;5000;13;0.000375;0.000375;0.000375
4;6;3;3;5000;13;0.000375;0.000375;0.000375
5;6;7;3;500;22;0.000375;0.000375;0.000375
6;2;6;3;5000;13;0.000375;0.000375;0.000375
7;8;5;4;1000;16;0.0005;0.0005;0.0005
8;6;9;3;500;22;0.000375;0.000375;0.000375
9;9;6;3;500;22;0.000375;0.000375;0.000375
10;8;2;3;5000;13;0.000375;0.000375;0.000375
11;1;7;4;1000;16;0.0005;0.0005;0.0005
12;6;2;3;5000;13;0.000375;0.000375;0.000375
13;2;3;3;500;22;0.000375;0.000375;0.000375
14;2;6;3;5000;13;0.000375;0.000375;0.000375
15;5;6;4;1000;16;0.0005;0.0005;0.0005
16;1;8;3;5000;13;0.000375;0.000375;0.000375
17;2;5;4;1000;16;0.0005;0.0005;0.0005
18;9;5;4;1000;16;0.0005;0.0005;0.0005
19;8;3;4;1000;16;0.0005;0.0005;0.0005
20;1;6;3;5000;13;0.000375;0.000375;0.000375
21;9;2;3;5000;13;0.000375;0.000375;0.000375
22;9;8;3;500;22;0.000375;0.000375;0.000375
23;2;4;4;1000;16;0.0005;0.0005;0.0005
24;9;2;3;5000;13;0.000375;0.000375;0.000375
25;3;5;3;500;22;0.000375;0.000375;0.000375
26;3;1;3;500;22;0.000375;0.000375;0.000375
27;2;8;3;5000;13;0.000375;0.000375;0.000375
28;8;1;3;5000;13;0.000375;0.000375;0.000375
29;8;3;4;1000;16;0.0005;0.0005;0.0005
30;1;9;3;5000;13;0.000375;0.000375;0.000375
