index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;7;9;3;5000;13;0.000375;0.000375;0.000375
2;5;13;3;5000;13;0.000375;0.000375;0.000375
3;11;12;4;1000;16;0.0005;0.0005;0.0005
4;11;6;3;5000;13;0.000375;0.000375;0.000375
5;4;14;3;5000;13;0.000375;0.000375;0.000375
6;7;2;3;5000;13;0.000375;0.000375;0.000375
7;12;7;3;5000;13;0.000375;0.000375;0.000375
8;8;9;4;1000;16;0.0005;0.0005;0.0005
9;7;2;3;5000;13;0.000375;0.000375;0.000375
10;9;5;3;5000;13;0.000375;0.000375;0.000375
11;13;14;3;500;22;0.000375;0.000375;0.000375
12;11;12;4;1000;16;0.0005;0.0005;0.0005
13;2;6;3;5000;13;0.000375;0.000375;0.000375
14;14;9;3;500;22;0.000375;0.000375;0.000375
15;11;14;4;1000;16;0.0005;0.0005;0.0005
16;12;9;3;500;22;0.000375;0.000375;0.000375
17;1;14;3;5000;13;0.000375;0.000375;0.000375
18;4;1;3;5000;13;0.000375;0.000375;0.000375
19;7;14;3;5000;13;0.000375;0.000375;0.000375
20;14;11;4;1000;16;0.0005;0.0005;0.0005
21;11;12;4;1000;16;0.0005;0.0005;0.0005
22;4;10;3;5000;13;0.000375;0.000375;0.000375
23;1;14;3;5000;13;0.000375;0.000375;0.000375
24;14;3;3;5000;13;0.000375;0.000375;0.000375
25;14;9;3;500;22;0.000375;0.000375;0.000375
26;10;14;3;5000;13;0.000375;0.000375;0.000375
27;6;2;3;5000;13;0.000375;0.000375;0.000375
28;14;5;3;5000;13;0.000375;0.000375;0.000375
29;8;14;3;5000;13;0.000375;0.000375;0.000375
30;9;1;3;5000;13;0.000375;0.000375;0.000375
31;7;3;3;5000;13;0.000375;0.000375;0.000375
32;10;9;4;1000;16;0.0005;0.0005;0.0005
33;1;5;3;5000;13;0.000375;0.000375;0.000375
34;9;8;4;1000;16;0.0005;0.0005;0.0005
35;2;1;3;5000;13;0.000375;0.000375;0.000375
36;1;12;3;5000;13;0.000375;0.000375;0.000375
37;4;13;3;5000;13;0.000375;0.000375;0.000375
38;12;6;3;5000;13;0.000375;0.000375;0.000375
39;10;9;4;1000;16;0.0005;0.0005;0.0005
40;4;2;4;1000;16;0.0005;0.0005;0.0005
41;14;12;4;1000;16;0.0005;0.0005;0.0005
42;9;4;3;5000;13;0.000375;0.000375;0.000375
43;11;14;4;1000;16;0.0005;0.0005;0.0005
44;6;11;3;5000;13;0.000375;0.000375;0.000375
45;12;2;3;5000;13;0.000375;0.000375;0.000375
46;5;10;3;5000;13;0.000375;0.000375;0.000375
47;5;10;3;5000;13;0.000375;0.000375;0.000375
48;14;2;3;5000;13;0.000375;0.000375;0.000375
49;11;8;3;5000;13;0.000375;0.000375;0.000375
50;12;6;3;5000;13;0.000375;0.000375;0.000375
51;3;14;3;5000;13;0.000375;0.000375;0.000375
52;8;13;3;5000;13;0.000375;0.000375;0.000375
53;3;5;3;5000;13;0.000375;0.000375;0.000375
54;6;4;3;5000;13;0.000375;0.000375;0.000375
55;5;10;3;5000;13;0.000375;0.000375;0.000375
56;12;2;3;5000;13;0.000375;0.000375;0.000375
57;13;6;3;5000;13;0.000375;0.000375;0.000375
58;14;9;3;500;22;0.000375;0.000375;0.000375
59;5;11;3;5000;13;0.000375;0.000375;0.000375
60;1;9;3;5000;13;0.000375;0.000375;0.000375
