index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;5;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;2;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;3;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
8;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;4;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
10;1;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;5;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;6;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;4;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
19;3;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;5;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;5;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;6;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
31;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;3;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
36;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
37;2;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
39;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
42;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
47;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
48;3;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
