index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;11;6;2500;16;0.00075;0.00075;0.00075
2;5;8;6;2500;16;0.00075;0.00075;0.00075
3;9;4;6;2000;21;0.00075;0.00075;0.00075
4;4;1;6;2000;21;0.00075;0.00075;0.00075
5;4;8;6;2500;16;0.00075;0.00075;0.00075
6;5;4;3;5000;13;0.000375;0.000375;0.000375
7;8;3;6;2000;21;0.00075;0.00075;0.00075
8;8;5;3;5000;13;0.000375;0.000375;0.000375
9;3;2;4;1000;16;0.0005;0.0005;0.0005
10;10;8;6;2000;21;0.00075;0.00075;0.00075
11;7;1;6;2500;16;0.00075;0.00075;0.00075
12;1;10;3;500;22;0.000375;0.000375;0.000375
13;2;10;3;2000;15;0.000375;0.000375;0.000375
14;2;11;3;2000;15;0.000375;0.000375;0.000375
15;9;12;4;1000;16;0.0005;0.0005;0.0005
16;2;5;3;5000;13;0.000375;0.000375;0.000375
17;4;10;6;1000;24;0.00075;0.00075;0.00075
18;4;6;3;500;22;0.000375;0.000375;0.000375
19;6;10;3;2000;15;0.000375;0.000375;0.000375
20;5;8;6;2500;16;0.00075;0.00075;0.00075
21;10;3;3;500;22;0.000375;0.000375;0.000375
22;8;7;3;5000;13;0.000375;0.000375;0.000375
23;12;7;3;500;22;0.000375;0.000375;0.000375
24;6;5;6;2000;21;0.00075;0.00075;0.00075
25;11;7;3;2000;15;0.000375;0.000375;0.000375
26;11;4;6;2000;21;0.00075;0.00075;0.00075
27;2;1;6;2500;16;0.00075;0.00075;0.00075
28;1;12;6;2500;16;0.00075;0.00075;0.00075
29;8;10;6;2500;16;0.00075;0.00075;0.00075
30;7;3;6;1000;24;0.00075;0.00075;0.00075
31;12;9;6;2500;16;0.00075;0.00075;0.00075
32;3;5;3;5000;13;0.000375;0.000375;0.000375
33;9;3;6;2500;16;0.00075;0.00075;0.00075
34;2;5;6;2000;21;0.00075;0.00075;0.00075
35;8;3;6;1000;24;0.00075;0.00075;0.00075
36;12;2;6;2000;21;0.00075;0.00075;0.00075
37;4;6;4;1000;16;0.0005;0.0005;0.0005
38;8;12;6;2000;21;0.00075;0.00075;0.00075
39;12;7;3;5000;13;0.000375;0.000375;0.000375
40;3;10;6;2500;16;0.00075;0.00075;0.00075
41;5;1;3;5000;13;0.000375;0.000375;0.000375
42;8;6;3;500;22;0.000375;0.000375;0.000375
43;12;6;3;2000;15;0.000375;0.000375;0.000375
44;1;9;3;2000;15;0.000375;0.000375;0.000375
45;10;8;6;1000;24;0.00075;0.00075;0.00075
46;7;1;3;500;22;0.000375;0.000375;0.000375
47;11;2;3;500;22;0.000375;0.000375;0.000375
48;10;9;3;500;22;0.000375;0.000375;0.000375
49;1;3;4;1000;16;0.0005;0.0005;0.0005
50;12;2;6;2500;16;0.00075;0.00075;0.00075
