index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;11;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;4;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;7;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;1;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;8;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;15;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;7;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;6;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;18;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;11;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;11;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;9;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;6;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;12;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;5;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;1;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;14;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
