index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;3;14;3;5000;13;0.000375;0.000375;0.000375
2;5;13;6;2500;16;0.00075;0.00075;0.00075
3;18;5;4;1000;16;0.0005;0.0005;0.0005
4;15;5;6;2500;16;0.00075;0.00075;0.00075
5;1;11;3;2000;15;0.000375;0.000375;0.000375
6;9;13;3;2000;15;0.000375;0.000375;0.000375
7;8;12;6;2500;16;0.00075;0.00075;0.00075
8;11;12;3;5000;13;0.000375;0.000375;0.000375
9;2;4;3;500;22;0.000375;0.000375;0.000375
10;3;5;3;5000;13;0.000375;0.000375;0.000375
11;12;11;3;5000;13;0.000375;0.000375;0.000375
12;10;9;6;2500;16;0.00075;0.00075;0.00075
13;13;9;3;2000;15;0.000375;0.000375;0.000375
14;5;12;6;2500;16;0.00075;0.00075;0.00075
15;17;9;3;5000;13;0.000375;0.000375;0.000375
16;6;4;6;2500;16;0.00075;0.00075;0.00075
17;1;10;3;5000;13;0.000375;0.000375;0.000375
18;5;9;3;5000;13;0.000375;0.000375;0.000375
19;6;1;6;2500;16;0.00075;0.00075;0.00075
20;18;3;4;1000;16;0.0005;0.0005;0.0005
21;1;13;6;2500;16;0.00075;0.00075;0.00075
22;18;3;6;2000;21;0.00075;0.00075;0.00075
23;8;10;4;1000;16;0.0005;0.0005;0.0005
24;1;15;3;2000;15;0.000375;0.000375;0.000375
25;11;7;3;5000;13;0.000375;0.000375;0.000375
26;9;14;6;2500;16;0.00075;0.00075;0.00075
27;16;8;3;2000;15;0.000375;0.000375;0.000375
28;11;7;6;2000;21;0.00075;0.00075;0.00075
29;2;4;4;1000;16;0.0005;0.0005;0.0005
30;10;6;6;2000;21;0.00075;0.00075;0.00075
31;4;5;6;2000;21;0.00075;0.00075;0.00075
32;8;13;6;2500;16;0.00075;0.00075;0.00075
33;13;7;6;2500;16;0.00075;0.00075;0.00075
34;15;3;3;5000;13;0.000375;0.000375;0.000375
35;14;13;3;5000;13;0.000375;0.000375;0.000375
36;4;17;3;5000;13;0.000375;0.000375;0.000375
37;13;5;3;5000;13;0.000375;0.000375;0.000375
38;5;18;3;500;22;0.000375;0.000375;0.000375
39;15;9;4;1000;16;0.0005;0.0005;0.0005
40;2;7;6;2000;21;0.00075;0.00075;0.00075
