index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;14;17;3;2000;15;0.000375;0.000375;0.000375
2;16;1;6;2500;16;0.00075;0.00075;0.00075
3;8;3;6;1000;24;0.00075;0.00075;0.00075
4;15;13;3;5000;13;0.000375;0.000375;0.000375
5;11;14;4;1000;16;0.0005;0.0005;0.0005
6;15;10;6;2500;16;0.00075;0.00075;0.00075
7;7;9;3;500;22;0.000375;0.000375;0.000375
8;15;4;3;2000;15;0.000375;0.000375;0.000375
9;8;10;4;1000;16;0.0005;0.0005;0.0005
10;17;4;6;2500;16;0.00075;0.00075;0.00075
11;1;6;6;2500;16;0.00075;0.00075;0.00075
12;10;1;3;2000;15;0.000375;0.000375;0.000375
13;16;14;3;5000;13;0.000375;0.000375;0.000375
14;11;4;6;2500;16;0.00075;0.00075;0.00075
15;6;5;6;2500;16;0.00075;0.00075;0.00075
16;9;4;4;1000;16;0.0005;0.0005;0.0005
17;11;16;6;2000;21;0.00075;0.00075;0.00075
18;16;11;6;2500;16;0.00075;0.00075;0.00075
19;9;13;4;1000;16;0.0005;0.0005;0.0005
20;1;15;4;1000;16;0.0005;0.0005;0.0005
21;1;7;3;5000;13;0.000375;0.000375;0.000375
22;12;3;6;2500;16;0.00075;0.00075;0.00075
23;11;16;6;2500;16;0.00075;0.00075;0.00075
24;6;2;6;2000;21;0.00075;0.00075;0.00075
25;16;14;6;1000;24;0.00075;0.00075;0.00075
26;16;9;6;2500;16;0.00075;0.00075;0.00075
27;1;4;4;1000;16;0.0005;0.0005;0.0005
28;6;4;3;2000;15;0.000375;0.000375;0.000375
29;13;6;3;2000;15;0.000375;0.000375;0.000375
30;8;14;4;1000;16;0.0005;0.0005;0.0005
31;3;11;6;2500;16;0.00075;0.00075;0.00075
32;15;1;3;5000;13;0.000375;0.000375;0.000375
33;4;12;3;2000;15;0.000375;0.000375;0.000375
34;5;2;6;2000;21;0.00075;0.00075;0.00075
35;13;1;6;2500;16;0.00075;0.00075;0.00075
36;5;15;3;5000;13;0.000375;0.000375;0.000375
37;3;5;3;500;22;0.000375;0.000375;0.000375
38;11;7;6;2000;21;0.00075;0.00075;0.00075
39;1;9;6;2500;16;0.00075;0.00075;0.00075
40;9;5;3;5000;13;0.000375;0.000375;0.000375
41;8;10;3;2000;15;0.000375;0.000375;0.000375
42;9;15;6;2000;21;0.00075;0.00075;0.00075
43;6;7;3;500;22;0.000375;0.000375;0.000375
44;12;13;6;1000;24;0.00075;0.00075;0.00075
45;13;10;6;2000;21;0.00075;0.00075;0.00075
46;14;2;3;2000;15;0.000375;0.000375;0.000375
47;3;2;3;2000;15;0.000375;0.000375;0.000375
48;8;1;6;1000;24;0.00075;0.00075;0.00075
49;13;4;6;1000;24;0.00075;0.00075;0.00075
50;14;5;6;2000;21;0.00075;0.00075;0.00075
51;9;14;6;2000;21;0.00075;0.00075;0.00075
52;16;11;4;1000;16;0.0005;0.0005;0.0005
53;13;7;3;2000;15;0.000375;0.000375;0.000375
54;9;16;6;2500;16;0.00075;0.00075;0.00075
55;2;7;4;1000;16;0.0005;0.0005;0.0005
56;1;5;3;2000;15;0.000375;0.000375;0.000375
57;14;9;4;1000;16;0.0005;0.0005;0.0005
58;1;16;3;5000;13;0.000375;0.000375;0.000375
59;4;6;3;2000;15;0.000375;0.000375;0.000375
60;15;8;6;2000;21;0.00075;0.00075;0.00075
61;10;8;3;2000;15;0.000375;0.000375;0.000375
62;14;5;3;2000;15;0.000375;0.000375;0.000375
63;10;4;3;500;22;0.000375;0.000375;0.000375
64;7;13;3;2000;15;0.000375;0.000375;0.000375
65;14;8;6;2000;21;0.00075;0.00075;0.00075
66;11;15;6;1000;24;0.00075;0.00075;0.00075
67;1;14;3;5000;13;0.000375;0.000375;0.000375
68;15;11;6;1000;24;0.00075;0.00075;0.00075
69;5;11;3;5000;13;0.000375;0.000375;0.000375
70;1;12;6;2000;21;0.00075;0.00075;0.00075
71;10;6;3;2000;15;0.000375;0.000375;0.000375
72;17;10;4;1000;16;0.0005;0.0005;0.0005
73;12;7;6;1000;24;0.00075;0.00075;0.00075
74;1;3;3;2000;15;0.000375;0.000375;0.000375
75;14;7;6;2000;21;0.00075;0.00075;0.00075
76;14;9;6;2000;21;0.00075;0.00075;0.00075
77;12;10;6;2500;16;0.00075;0.00075;0.00075
78;10;6;3;2000;15;0.000375;0.000375;0.000375
79;16;13;6;1000;24;0.00075;0.00075;0.00075
80;6;14;3;5000;13;0.000375;0.000375;0.000375
81;7;5;3;2000;15;0.000375;0.000375;0.000375
82;7;10;3;5000;13;0.000375;0.000375;0.000375
83;12;8;6;1000;24;0.00075;0.00075;0.00075
84;5;16;3;5000;13;0.000375;0.000375;0.000375
85;15;3;3;2000;15;0.000375;0.000375;0.000375
86;13;16;6;2000;21;0.00075;0.00075;0.00075
87;5;4;6;1000;24;0.00075;0.00075;0.00075
88;8;3;6;2500;16;0.00075;0.00075;0.00075
89;16;15;4;1000;16;0.0005;0.0005;0.0005
90;10;16;3;5000;13;0.000375;0.000375;0.000375
91;10;9;3;5000;13;0.000375;0.000375;0.000375
92;12;7;4;1000;16;0.0005;0.0005;0.0005
93;14;2;6;2500;16;0.00075;0.00075;0.00075
94;12;4;4;1000;16;0.0005;0.0005;0.0005
95;13;4;3;2000;15;0.000375;0.000375;0.000375
96;13;17;6;2000;21;0.00075;0.00075;0.00075
97;4;16;6;2500;16;0.00075;0.00075;0.00075
98;6;14;6;2500;16;0.00075;0.00075;0.00075
99;14;17;6;2000;21;0.00075;0.00075;0.00075
100;1;8;6;1000;24;0.00075;0.00075;0.00075
