index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;2;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;12;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;1;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;8;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;12;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;12;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;11;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;9;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;14;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;16;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;10;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;4;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;8;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
18;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;4;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;11;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
