index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;17;5;6;2500;16;0.00075;0.00075;0.00075
2;8;5;6;1000;24;0.00075;0.00075;0.00075
3;16;1;3;2000;15;0.000375;0.000375;0.000375
4;17;16;6;1000;24;0.00075;0.00075;0.00075
5;13;14;3;5000;13;0.000375;0.000375;0.000375
6;9;6;6;2000;21;0.00075;0.00075;0.00075
7;12;6;6;2000;21;0.00075;0.00075;0.00075
8;2;14;6;2000;21;0.00075;0.00075;0.00075
9;2;16;3;2000;15;0.000375;0.000375;0.000375
10;6;12;6;2500;16;0.00075;0.00075;0.00075
11;13;12;3;500;22;0.000375;0.000375;0.000375
12;9;5;4;1000;16;0.0005;0.0005;0.0005
13;10;12;3;2000;15;0.000375;0.000375;0.000375
14;11;3;6;2500;16;0.00075;0.00075;0.00075
15;9;10;6;1000;24;0.00075;0.00075;0.00075
16;6;3;6;1000;24;0.00075;0.00075;0.00075
17;4;2;4;1000;16;0.0005;0.0005;0.0005
18;7;17;4;1000;16;0.0005;0.0005;0.0005
19;7;8;6;1000;24;0.00075;0.00075;0.00075
20;7;6;3;500;22;0.000375;0.000375;0.000375
21;3;5;6;2500;16;0.00075;0.00075;0.00075
22;17;4;3;5000;13;0.000375;0.000375;0.000375
23;15;12;3;500;22;0.000375;0.000375;0.000375
24;3;8;3;2000;15;0.000375;0.000375;0.000375
25;3;16;3;5000;13;0.000375;0.000375;0.000375
26;5;16;3;2000;15;0.000375;0.000375;0.000375
27;11;16;3;2000;15;0.000375;0.000375;0.000375
28;11;9;4;1000;16;0.0005;0.0005;0.0005
29;12;8;6;2000;21;0.00075;0.00075;0.00075
30;17;11;3;2000;15;0.000375;0.000375;0.000375
31;17;16;6;1000;24;0.00075;0.00075;0.00075
32;7;10;6;2500;16;0.00075;0.00075;0.00075
33;4;14;4;1000;16;0.0005;0.0005;0.0005
34;4;11;3;5000;13;0.000375;0.000375;0.000375
35;12;14;6;2000;21;0.00075;0.00075;0.00075
36;10;9;6;2000;21;0.00075;0.00075;0.00075
37;8;15;4;1000;16;0.0005;0.0005;0.0005
38;8;17;3;2000;15;0.000375;0.000375;0.000375
39;4;1;3;2000;15;0.000375;0.000375;0.000375
40;14;10;6;2000;21;0.00075;0.00075;0.00075
41;4;10;6;2500;16;0.00075;0.00075;0.00075
42;10;6;4;1000;16;0.0005;0.0005;0.0005
43;14;6;6;2000;21;0.00075;0.00075;0.00075
44;14;5;3;2000;15;0.000375;0.000375;0.000375
45;4;11;3;5000;13;0.000375;0.000375;0.000375
46;11;12;3;2000;15;0.000375;0.000375;0.000375
47;7;1;6;2500;16;0.00075;0.00075;0.00075
48;4;16;4;1000;16;0.0005;0.0005;0.0005
49;10;9;3;500;22;0.000375;0.000375;0.000375
50;9;11;6;1000;24;0.00075;0.00075;0.00075
51;13;15;6;2000;21;0.00075;0.00075;0.00075
52;17;4;4;1000;16;0.0005;0.0005;0.0005
53;17;1;6;2500;16;0.00075;0.00075;0.00075
54;11;13;3;5000;13;0.000375;0.000375;0.000375
55;11;2;4;1000;16;0.0005;0.0005;0.0005
56;5;7;4;1000;16;0.0005;0.0005;0.0005
57;14;2;3;2000;15;0.000375;0.000375;0.000375
58;8;9;3;5000;13;0.000375;0.000375;0.000375
59;9;13;3;5000;13;0.000375;0.000375;0.000375
60;2;9;6;1000;24;0.00075;0.00075;0.00075
