index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;2;3;2000;15;0.000375;0.000375;0.000375
2;1;3;6;1000;24;0.00075;0.00075;0.00075
3;1;4;6;2500;16;0.00075;0.00075;0.00075
4;1;5;6;2000;21;0.00075;0.00075;0.00075
5;1;6;3;5000;13;0.000375;0.000375;0.000375
6;1;7;6;2000;21;0.00075;0.00075;0.00075
7;1;8;6;2000;21;0.00075;0.00075;0.00075
8;1;9;6;2500;16;0.00075;0.00075;0.00075
9;2;3;3;5000;13;0.000375;0.000375;0.000375
10;2;4;4;1000;16;0.0005;0.0005;0.0005
11;2;5;3;2000;15;0.000375;0.000375;0.000375
12;2;6;3;5000;13;0.000375;0.000375;0.000375
13;2;7;6;2000;21;0.00075;0.00075;0.00075
14;2;8;3;5000;13;0.000375;0.000375;0.000375
15;2;9;3;5000;13;0.000375;0.000375;0.000375
16;3;4;3;5000;13;0.000375;0.000375;0.000375
17;3;5;6;2500;16;0.00075;0.00075;0.00075
18;3;6;3;2000;15;0.000375;0.000375;0.000375
19;3;7;4;1000;16;0.0005;0.0005;0.0005
20;3;8;4;1000;16;0.0005;0.0005;0.0005
21;3;9;6;2500;16;0.00075;0.00075;0.00075
22;4;5;4;1000;16;0.0005;0.0005;0.0005
23;4;6;3;500;22;0.000375;0.000375;0.000375
24;4;7;6;2500;16;0.00075;0.00075;0.00075
25;4;8;3;5000;13;0.000375;0.000375;0.000375
26;4;9;3;5000;13;0.000375;0.000375;0.000375
27;5;6;3;2000;15;0.000375;0.000375;0.000375
28;5;7;6;2500;16;0.00075;0.00075;0.00075
29;5;8;3;2000;15;0.000375;0.000375;0.000375
30;5;9;6;2500;16;0.00075;0.00075;0.00075
31;6;7;4;1000;16;0.0005;0.0005;0.0005
32;6;8;4;1000;16;0.0005;0.0005;0.0005
33;6;9;6;2000;21;0.00075;0.00075;0.00075
34;7;8;6;1000;24;0.00075;0.00075;0.00075
35;7;9;3;5000;13;0.000375;0.000375;0.000375
36;8;9;3;2000;15;0.000375;0.000375;0.000375
