index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;9;3;5000;13;0.000375;0.000375;0.000375
2;6;10;6;2500;16;0.00075;0.00075;0.00075
3;8;6;3;5000;13;0.000375;0.000375;0.000375
4;9;7;6;2000;21;0.00075;0.00075;0.00075
5;12;8;6;2500;16;0.00075;0.00075;0.00075
6;2;4;6;2000;21;0.00075;0.00075;0.00075
7;1;3;3;5000;13;0.000375;0.000375;0.000375
8;1;3;3;2000;15;0.000375;0.000375;0.000375
9;14;11;6;2000;21;0.00075;0.00075;0.00075
10;6;1;3;5000;13;0.000375;0.000375;0.000375
11;6;12;3;5000;13;0.000375;0.000375;0.000375
12;10;8;3;2000;15;0.000375;0.000375;0.000375
13;11;6;3;5000;13;0.000375;0.000375;0.000375
14;4;11;3;5000;13;0.000375;0.000375;0.000375
15;12;5;3;5000;13;0.000375;0.000375;0.000375
16;12;3;3;5000;13;0.000375;0.000375;0.000375
17;9;6;3;5000;13;0.000375;0.000375;0.000375
18;8;12;3;5000;13;0.000375;0.000375;0.000375
19;1;12;3;5000;13;0.000375;0.000375;0.000375
20;8;5;3;2000;15;0.000375;0.000375;0.000375
21;11;4;6;2500;16;0.00075;0.00075;0.00075
22;1;8;3;5000;13;0.000375;0.000375;0.000375
23;9;4;3;5000;13;0.000375;0.000375;0.000375
24;8;9;6;1000;24;0.00075;0.00075;0.00075
25;13;7;6;2500;16;0.00075;0.00075;0.00075
26;2;3;3;2000;15;0.000375;0.000375;0.000375
27;4;5;4;1000;16;0.0005;0.0005;0.0005
28;14;2;3;5000;13;0.000375;0.000375;0.000375
29;6;14;6;2500;16;0.00075;0.00075;0.00075
30;5;3;3;5000;13;0.000375;0.000375;0.000375
31;12;4;3;5000;13;0.000375;0.000375;0.000375
32;13;12;6;2500;16;0.00075;0.00075;0.00075
33;9;13;4;1000;16;0.0005;0.0005;0.0005
34;9;6;6;2500;16;0.00075;0.00075;0.00075
35;7;14;3;5000;13;0.000375;0.000375;0.000375
36;9;12;3;2000;15;0.000375;0.000375;0.000375
37;14;2;3;5000;13;0.000375;0.000375;0.000375
38;8;4;3;5000;13;0.000375;0.000375;0.000375
39;9;1;3;5000;13;0.000375;0.000375;0.000375
40;2;8;3;5000;13;0.000375;0.000375;0.000375
41;1;14;3;5000;13;0.000375;0.000375;0.000375
42;13;2;3;5000;13;0.000375;0.000375;0.000375
43;6;4;6;2000;21;0.00075;0.00075;0.00075
44;5;4;6;1000;24;0.00075;0.00075;0.00075
45;5;13;3;5000;13;0.000375;0.000375;0.000375
46;12;6;3;5000;13;0.000375;0.000375;0.000375
47;14;12;6;1000;24;0.00075;0.00075;0.00075
48;6;4;3;2000;15;0.000375;0.000375;0.000375
49;14;7;3;2000;15;0.000375;0.000375;0.000375
50;6;5;3;2000;15;0.000375;0.000375;0.000375
51;8;9;6;2000;21;0.00075;0.00075;0.00075
52;13;9;4;1000;16;0.0005;0.0005;0.0005
53;9;10;3;2000;15;0.000375;0.000375;0.000375
54;1;13;3;5000;13;0.000375;0.000375;0.000375
55;13;10;3;2000;15;0.000375;0.000375;0.000375
56;9;11;6;2500;16;0.00075;0.00075;0.00075
57;9;10;6;2500;16;0.00075;0.00075;0.00075
58;10;4;3;5000;13;0.000375;0.000375;0.000375
59;3;13;3;5000;13;0.000375;0.000375;0.000375
60;8;12;6;2000;21;0.00075;0.00075;0.00075
61;8;11;3;5000;13;0.000375;0.000375;0.000375
62;2;1;3;2000;15;0.000375;0.000375;0.000375
63;2;14;3;5000;13;0.000375;0.000375;0.000375
64;4;12;3;5000;13;0.000375;0.000375;0.000375
65;4;10;3;5000;13;0.000375;0.000375;0.000375
66;4;5;4;1000;16;0.0005;0.0005;0.0005
67;7;9;3;2000;15;0.000375;0.000375;0.000375
68;5;10;6;2500;16;0.00075;0.00075;0.00075
69;11;10;3;5000;13;0.000375;0.000375;0.000375
70;11;9;3;5000;13;0.000375;0.000375;0.000375
71;4;11;6;2500;16;0.00075;0.00075;0.00075
72;13;6;6;2500;16;0.00075;0.00075;0.00075
73;7;11;3;5000;13;0.000375;0.000375;0.000375
74;14;13;3;500;22;0.000375;0.000375;0.000375
75;4;6;6;2000;21;0.00075;0.00075;0.00075
76;8;13;3;5000;13;0.000375;0.000375;0.000375
77;13;3;3;5000;13;0.000375;0.000375;0.000375
78;7;13;3;5000;13;0.000375;0.000375;0.000375
79;7;11;3;5000;13;0.000375;0.000375;0.000375
80;11;12;3;5000;13;0.000375;0.000375;0.000375
81;3;5;6;2500;16;0.00075;0.00075;0.00075
82;11;3;3;5000;13;0.000375;0.000375;0.000375
83;4;3;6;2000;21;0.00075;0.00075;0.00075
84;6;9;3;5000;13;0.000375;0.000375;0.000375
85;8;3;3;5000;13;0.000375;0.000375;0.000375
86;9;1;3;5000;13;0.000375;0.000375;0.000375
87;11;8;6;2500;16;0.00075;0.00075;0.00075
88;1;9;3;5000;13;0.000375;0.000375;0.000375
89;2;9;3;5000;13;0.000375;0.000375;0.000375
90;9;10;4;1000;16;0.0005;0.0005;0.0005
91;12;1;3;5000;13;0.000375;0.000375;0.000375
92;10;4;3;5000;13;0.000375;0.000375;0.000375
93;12;5;3;5000;13;0.000375;0.000375;0.000375
94;14;10;6;2000;21;0.00075;0.00075;0.00075
95;5;7;4;1000;16;0.0005;0.0005;0.0005
96;5;3;6;2500;16;0.00075;0.00075;0.00075
97;6;9;3;5000;13;0.000375;0.000375;0.000375
98;3;14;3;5000;13;0.000375;0.000375;0.000375
99;12;10;6;2500;16;0.00075;0.00075;0.00075
100;9;6;3;5000;13;0.000375;0.000375;0.000375
