index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;12;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;8;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;6;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;2;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;5;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;1;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
