index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;14;6;2500;16;0.00075;0.00075;0.00075
2;1;16;4;1000;16;0.0005;0.0005;0.0005
3;1;17;6;2500;16;0.00075;0.00075;0.00075
4;1;5;4;1000;16;0.0005;0.0005;0.0005
5;1;21;6;2500;16;0.00075;0.00075;0.00075
6;1;3;3;500;22;0.000375;0.000375;0.000375
7;1;11;3;2000;15;0.000375;0.000375;0.000375
8;1;10;6;1000;24;0.00075;0.00075;0.00075
9;1;23;3;2000;15;0.000375;0.000375;0.000375
10;1;18;4;1000;16;0.0005;0.0005;0.0005
11;1;9;6;2500;16;0.00075;0.00075;0.00075
12;1;25;6;2500;16;0.00075;0.00075;0.00075
13;1;4;3;500;22;0.000375;0.000375;0.000375
14;1;2;3;500;22;0.000375;0.000375;0.000375
15;1;6;6;2000;21;0.00075;0.00075;0.00075
16;2;27;6;2500;16;0.00075;0.00075;0.00075
17;2;12;4;1000;16;0.0005;0.0005;0.0005
18;2;24;4;1000;16;0.0005;0.0005;0.0005
19;2;26;6;2500;16;0.00075;0.00075;0.00075
20;2;13;3;2000;15;0.000375;0.000375;0.000375
21;2;8;3;2000;15;0.000375;0.000375;0.000375
22;2;14;4;1000;16;0.0005;0.0005;0.0005
23;2;1;3;500;22;0.000375;0.000375;0.000375
24;2;17;3;2000;15;0.000375;0.000375;0.000375
25;2;21;3;5000;13;0.000375;0.000375;0.000375
26;2;19;4;1000;16;0.0005;0.0005;0.0005
27;2;16;4;1000;16;0.0005;0.0005;0.0005
28;2;10;3;2000;15;0.000375;0.000375;0.000375
29;2;7;6;2500;16;0.00075;0.00075;0.00075
30;2;4;6;2500;16;0.00075;0.00075;0.00075
31;3;7;3;2000;15;0.000375;0.000375;0.000375
32;3;17;3;5000;13;0.000375;0.000375;0.000375
33;3;30;3;5000;13;0.000375;0.000375;0.000375
34;3;28;3;2000;15;0.000375;0.000375;0.000375
35;3;21;3;2000;15;0.000375;0.000375;0.000375
36;3;15;3;5000;13;0.000375;0.000375;0.000375
37;3;11;6;2000;21;0.00075;0.00075;0.00075
38;3;29;3;2000;15;0.000375;0.000375;0.000375
39;3;12;4;1000;16;0.0005;0.0005;0.0005
40;3;13;6;2000;21;0.00075;0.00075;0.00075
41;3;22;6;2500;16;0.00075;0.00075;0.00075
42;3;6;3;500;22;0.000375;0.000375;0.000375
43;3;1;3;2000;15;0.000375;0.000375;0.000375
44;3;25;4;1000;16;0.0005;0.0005;0.0005
45;3;2;3;2000;15;0.000375;0.000375;0.000375
46;4;18;6;2500;16;0.00075;0.00075;0.00075
47;4;14;4;1000;16;0.0005;0.0005;0.0005
48;4;3;4;1000;16;0.0005;0.0005;0.0005
49;4;6;6;2000;21;0.00075;0.00075;0.00075
50;4;24;4;1000;16;0.0005;0.0005;0.0005
51;4;17;3;5000;13;0.000375;0.000375;0.000375
52;4;10;6;2500;16;0.00075;0.00075;0.00075
53;4;28;6;2000;21;0.00075;0.00075;0.00075
54;4;19;4;1000;16;0.0005;0.0005;0.0005
55;4;22;6;2500;16;0.00075;0.00075;0.00075
56;4;12;3;2000;15;0.000375;0.000375;0.000375
57;4;20;3;2000;15;0.000375;0.000375;0.000375
58;4;16;6;1000;24;0.00075;0.00075;0.00075
59;4;11;6;2000;21;0.00075;0.00075;0.00075
60;4;27;4;1000;16;0.0005;0.0005;0.0005
61;5;11;3;5000;13;0.000375;0.000375;0.000375
62;5;23;3;5000;13;0.000375;0.000375;0.000375
63;5;16;3;5000;13;0.000375;0.000375;0.000375
64;5;10;3;2000;15;0.000375;0.000375;0.000375
65;5;22;3;2000;15;0.000375;0.000375;0.000375
66;5;30;6;2000;21;0.00075;0.00075;0.00075
67;5;19;4;1000;16;0.0005;0.0005;0.0005
68;5;14;4;1000;16;0.0005;0.0005;0.0005
69;5;28;3;2000;15;0.000375;0.000375;0.000375
70;5;12;6;2500;16;0.00075;0.00075;0.00075
71;5;25;6;2500;16;0.00075;0.00075;0.00075
72;5;8;6;2500;16;0.00075;0.00075;0.00075
73;5;26;3;2000;15;0.000375;0.000375;0.000375
74;5;29;3;2000;15;0.000375;0.000375;0.000375
75;5;6;6;2500;16;0.00075;0.00075;0.00075
76;6;16;6;2000;21;0.00075;0.00075;0.00075
77;6;4;3;500;22;0.000375;0.000375;0.000375
78;6;23;3;5000;13;0.000375;0.000375;0.000375
79;6;19;3;2000;15;0.000375;0.000375;0.000375
80;6;21;6;2000;21;0.00075;0.00075;0.00075
81;6;10;4;1000;16;0.0005;0.0005;0.0005
82;6;27;3;2000;15;0.000375;0.000375;0.000375
83;6;2;3;2000;15;0.000375;0.000375;0.000375
84;6;13;6;2000;21;0.00075;0.00075;0.00075
85;6;30;6;2500;16;0.00075;0.00075;0.00075
86;6;12;4;1000;16;0.0005;0.0005;0.0005
87;6;20;6;2500;16;0.00075;0.00075;0.00075
88;6;1;3;500;22;0.000375;0.000375;0.000375
89;6;9;6;2500;16;0.00075;0.00075;0.00075
90;6;24;6;2000;21;0.00075;0.00075;0.00075
91;7;3;3;5000;13;0.000375;0.000375;0.000375
92;7;22;6;2000;21;0.00075;0.00075;0.00075
93;7;15;6;2000;21;0.00075;0.00075;0.00075
94;7;25;6;2500;16;0.00075;0.00075;0.00075
95;7;12;6;1000;24;0.00075;0.00075;0.00075
96;7;23;3;5000;13;0.000375;0.000375;0.000375
