index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;14;2;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
2;9;7;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
3;3;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
4;10;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
5;10;6;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
6;1;7;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
7;9;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
8;10;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
9;6;2;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
10;4;14;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
11;7;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
12;4;7;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
13;5;2;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
14;5;2;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
15;5;10;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
16;5;2;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
17;7;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
18;14;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
19;5;9;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
20;14;6;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
21;11;5;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
22;6;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
23;4;11;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
24;4;13;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
25;13;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
26;13;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
27;7;9;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
28;1;11;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
29;4;14;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
30;9;5;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
31;7;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
32;3;12;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
33;13;1;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
34;10;12;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
35;9;12;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
36;12;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
37;1;6;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
38;6;12;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
39;12;6;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
40;9;12;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
41;8;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
42;9;8;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
43;3;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
44;12;10;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
45;1;7;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
46;14;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
47;5;10;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
48;8;11;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
49;3;4;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
50;7;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
51;5;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
52;3;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
53;8;9;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
54;12;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
55;2;7;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
56;9;10;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
57;1;11;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
58;2;13;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
59;7;4;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
60;7;14;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
