Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;2;3;10;90;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
2;1;2;5;90;1;1;1.0674002918297505e-09;1.3156350923123417e-09;8.141572863992184e-10;1.6069442528264318e-09;2.008450925301469e-09;2.4069752758310663e-09
3;1;4;15;90;1;1;6.2784593407257304e-09;5.057062644241291e-09;4.607089201565502e-09;6.343953109098717e-09;1.1365264088901638e-08;9.502344750152039e-09
4;3;4;18;90;1;1;8.01200851698267e-09;6.559073409380988e-09;5.819386375496197e-09;8.300136797574245e-09;1.4355889391157481e-08;1.2432431319653706e-08
5;3;6;20;90;1;1;9.141475610118297e-09;7.68209976418271e-09;6.596954042553592e-09;9.77953900158512e-09;1.6274077100675996e-08;1.4648366640248039e-08
6;5;6;17;90;1;1;7.437663821375623e-09;6.03517770983469e-09;5.420275593199399e-09;7.614779606088944e-09;1.3371319906375225e-08;1.1405863153323967e-08
7;4;5;19;90;1;1;8.580441884263795e-09;7.107659552577012e-09;6.211926465015956e-09;9.021106432967346e-09;1.532424958295867e-08;1.3512341891513205e-08
8;1;9;30;90;1;1;1.4148904360440354e-08;1.5147229162732814e-08;9.924805534129173e-09;1.9907084353931593e-08;2.4483579759654187e-08;2.981799758735766e-08
9;4;9;20;90;1;1;9.141475610118297e-09;7.68209976418271e-09;6.596954042553592e-09;9.77953900158512e-09;1.6274077100675996e-08;1.4648366640248039e-08
10;5;10;50;90;1;1;2.0439157245224888e-08;4.573021917301748e-08;1.3781040355332739e-08;6.460820212895765e-08;3.399655535320344e-08;9.677395147141673e-08
11;9;10;8;90;1;1;2.3963814333904945e-09;2.263339816065547e-09;1.8053581555562999e-09;2.7856614864396553e-09;4.453652038249554e-09;4.172527026312023e-09
12;6;7;10;90;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
13;7;8;13;90;1;1;5.120221465363886e-09;4.165011102282795e-09;3.784193451323964e-09;5.195571413901146e-09;9.335256179362584e-09;7.782231346905014e-09
14;5;8;15;90;1;1;6.2784593407257304e-09;5.057062644241291e-09;4.607089201565502e-09;6.343953109098717e-09;1.1365264088901638e-08;9.502344750152039e-09
15;7;11;19;90;1;1;8.580441884263795e-09;7.107659552577012e-09;6.211926465015956e-09;9.021106432967346e-09;1.532424958295867e-08;1.3512341891513205e-08
16;8;11;25;90;1;1;1.1797796172714462e-08;1.0986825701379934e-08;8.38717146512875e-09;1.420543098738398e-08;2.06903783472865e-08;2.1277727033167262e-08
17;11;12;24;90;1;1;1.128911623503372e-08;1.0263648321433107e-08;8.04859462043002e-09;1.3228380570872663e-08;1.9855140502731517e-08;1.981424365989731e-08
18;11;14;34;90;1;1;1.5790948627988214e-08;1.9238707897126777e-08;1.097056184098237e-08;2.5630736668147614e-08;2.706336410504572e-08;3.8391219454600164e-08
19;12;14;10;90;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
20;12;13;6;90;1;1;1.4707307804884697e-09;1.6171056008304695e-09;1.1170974392253033e-09;1.98012306173481e-09;2.755776338239152e-09;2.9659443657211874e-09
21;13;14;12;90;1;1;4.548374786620025e-09;3.748865956082542e-09;3.373981810108429e-09;4.663564870149942e-09;8.323301899603444e-09;6.985360767768751e-09
22;8;15;10;90;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
23;14;15;7;90;1;1;1.9161215365441226e-09;1.932783976695222e-09;1.4494050456834448e-09;2.3726929408251866e-09;3.5755485503474424e-09;3.553958536931263e-09
24;10;15;23;90;1;1;1.0768477049317184e-08;9.573019285205476e-09;7.699953213988707e-09;1.2299591761293139e-08;1.8995074312742146e-08;1.842304934983063e-08
25;13;17;20;90;1;1;9.141475610118297e-09;7.68209976418271e-09;6.596954042553592e-09;9.77953900158512e-09;1.6274077100675996e-08;1.4648366640248039e-08
26;16;17;40;90;1;1;1.7868875836126875e-08;2.6978661927336208e-08;1.2257020436964134e-08;3.671462602516594e-08;3.023693879463544e-08;5.499331849784046e-08
27;15;16;13;90;1;1;5.120221465363886e-09;4.165011102282795e-09;3.784193451323964e-09;5.195571413901146e-09;9.335256179362584e-09;7.782231346905014e-09
28;10;18;20;90;1;1;9.141475610118297e-09;7.68209976418271e-09;6.596954042553592e-09;9.77953900158512e-09;1.6274077100675996e-08;1.4648366640248039e-08
29;16;18;14;90;1;1;5.697931103561147e-09;4.600768565001896e-09;4.195955329078465e-09;5.755222014551881e-09;1.0351034749665008e-08;8.620508814527797e-09
30;16;19;19;90;1;1;8.580441884263795e-09;7.107659552577012e-09;6.211926465015956e-09;9.021106432967346e-09;1.532424958295867e-08;1.3512341891513205e-08
31;9;19;31;90;1;1;1.4579362141104084e-08;1.610056261701929e-08;1.0201279809326749e-08;2.1231172733720908e-08;2.5165616293772174e-08;3.1801294759964885e-08
32;17;20;5;90;1;1;1.0674002918297505e-09;1.3156350923123417e-09;8.141572863992184e-10;1.6069442528264318e-09;2.008450925301469e-09;2.4069752758310663e-09
33;19;20;4;90;1;1;7.141953457483591e-10;1.0277329917734178e-09;5.470829517858439e-10;1.2521986881871845e-09;1.3496031775267453e-09;1.875616579475825e-09
34;19;21;16;90;1;1;6.859143487603758e-09;5.534861200919463e-09;5.01572691845691e-09;6.9632757744962055e-09;1.2373335642536528e-08;1.0430002533395975e-08
35;20;21;17;90;1;1;7.437663821375623e-09;6.03517770983469e-09;5.420275593199399e-09;7.614779606088944e-09;1.3371319906375225e-08;1.1405863153323967e-08
