Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;5;523;144;0;7;1.654967181339186e-07;1.0744871293468029e-06;1.0872083902231464e-07;1.6790605469867542e-06;2.682042811403985e-07;2.514995287554027e-06
2;1;14;1282;144;0;17;4.027621430093848e-07;2.6974653003821045e-06;2.6446256168093127e-07;4.227776672509184e-06;6.524047448679487e-07;6.332611666251798e-06
3;1;15;592;144;0;8;1.8872059381074324e-07;1.186933619098788e-06;1.2403966968792803e-07;1.8491491736361279e-06;3.059944233387959e-07;2.769764000485429e-06
4;1;17;264;144;0;4;9.150331607680012e-08;4.0431532472884844e-07;6.053396050735146e-08;6.0908260138959e-07;1.4933169674236227e-07;9.123196152604562e-07
5;1;18;257;144;0;4;9.073285349833966e-08;3.714360658860946e-07;6.012377898518714e-08;5.555201088161133e-07;1.483198167635242e-07;8.320905748880343e-07
6;2;4;264;144;0;4;9.150331607680012e-08;4.0431532472884844e-07;6.053396050735146e-08;6.0908260138959e-07;1.4933169674236227e-07;9.123196152604562e-07
7;2;5;649;144;0;9;2.1099111255445802e-07;1.2202458756687205e-06;1.3886954823629808e-07;1.8858878573685935e-06;3.425783657663249e-07;2.8247933540271502e-06
8;2;9;187;144;0;3;6.736416043228659e-08;2.5375437295591536e-07;4.4724468611855534e-08;3.765418127463102e-07;1.1033113854986929e-07;5.64006394125281e-07
9;2;10;173;144;0;3;6.543777456700435e-08;2.0173442359088282e-07;4.3671234412335655e-08;2.937458107874472e-07;1.077329069330517e-07;4.39989690184171e-07
10;2;16;320;144;0;4;9.592709455055964e-08;7.888100432013827e-07;6.280641198731196e-08;1.2608941832316136e-06;1.5493762492586484e-07;1.8886412015473369e-06
11;3;5;356;144;0;5;1.1684111079376282e-07;6.490148458319498e-07;7.695596371706268e-08;9.99200853893273e-07;1.8984326384719218e-07;1.4966615964929622e-06
12;3;6;520;144;0;7;1.6527839722047533e-07;1.052793372844031e-06;1.0860995211682793e-07;1.6421627596549524e-06;2.679307333730947e-07;2.4597276193170553e-06
13;3;11;482;144;0;7;1.62121790860196e-07;8.120529788549349e-07;1.0698221976805448e-07;1.2379657200546218e-06;2.6391526781545543e-07;1.8542976056928123e-06
14;3;18;634;144;0;8;1.915069077331905e-07;1.5226812705195754e-06;1.2544083345396116e-07;2.4261134900827987e-06;3.0945096510216246e-07;3.6339749662866854e-06
15;4;7;778;144;0;10;2.3850185498366166e-07;1.7771237502543609e-06;1.56361965884012e-07;2.813923035572847e-06;3.857305465515542e-07;4.21485883085386e-06
16;4;9;288;144;0;4;9.373777487035321e-08;5.394598237287482e-07;6.170126392715187e-08;8.333427848973381e-07;1.5221132660353393e-07;1.2482296607440259e-06
