Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;5;10;150;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
2;1;16;358;150;7;5;1.1700813089945208e-07;6.615532594894971e-07;7.704211245861211e-08;1.0202244964967479e-06;1.9005578484598318e-07;1.528152040461673e-06
3;1;31;223;150;5;3;7.0844083395829e-08;4.522211574898154e-07;4.655245254979658e-08;7.05524171592941e-07;1.148406063061938e-07;1.0567754510080235e-06
4;2;12;278;150;5;4;9.287790563782614e-08;4.785837991241548e-07;6.125624765375085e-08;7.315631889091389e-07;1.5111351250665412e-07;1.0957782171443012e-06
5;2;14;10;150;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
6;2;16;199;150;8;3;6.873263245498753e-08;3.0816305670885985e-07;4.5456149840891844e-08;4.6487579965431937e-07;1.121361286494888e-07;6.963182164733138e-07
7;3;7;602;150;6;8;1.894443713139348e-07;1.2596724672033753e-06;1.244070644588468e-07;1.9729413199231874e-06;3.0690075234908605e-07;2.955187131954321e-06
8;3;9;10;150;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
9;3;14;220;150;2;3;7.061917602196024e-08;4.3118178634292213e-07;4.643784022089893e-08;6.698485488915627e-07;1.1455786826297915e-07;1.0033384125786823e-06
10;3;18;10;150;2;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
11;4;5;934;150;5;12;2.8622733020243266e-07;2.1359182669337777e-06;1.8764690259959943e-07;3.3825272978173686e-06;4.6290759961499503e-07;5.06654761753547e-06
12;4;11;10;150;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
13;5;15;227;150;3;3;7.112880455409248e-08;4.818240856822485e-07;4.669671162394073e-08;7.559918212858554e-07;1.1519648013522917e-07;1.1323688543426372e-06
14;5;22;333;150;3;5;1.1469275194409428e-07;5.202652022842981e-07;7.583340907139746e-08;7.857093945053614e-07;1.870740250840544e-07;1.1768815770903232e-06
15;6;9;10;150;2;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
16;6;18;10;150;6;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
17;6;22;315;150;9;4;9.563440742104813e-08;7.435477635465936e-07;6.26612786021791e-08;1.1821600416109772e-06;1.5457959425226932e-07;1.770708590063569e-06
18;7;26;601;150;7;8;1.893737930994679e-07;1.2522087176637592e-06;1.2437133915319738e-07;1.960206398627331e-06;3.0681262131545536e-07;2.9361120205154095e-06
19;8;10;618;150;2;8;1.9052170471494388e-07;1.3851251448415438e-06;1.2494957703727722e-07;2.188059070708259e-06;3.082390808371295e-07;3.2774031059194004e-06
20;8;25;10;150;1;1;3.4366167245666523e-09;2.971921542672514e-09;2.5687100559906198e-09;3.6770894661259394e-09;6.336770762812771e-09;5.507760095856893e-09
21;9;26;583;150;5;8;1.880338815842783e-07;1.1249541950373404e-06;1.2368903229960805e-07;1.744244021611044e-06;3.05129433245627e-07;2.612630915882432e-06
