index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;6;2;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
2;15;8;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
3;6;2;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
4;17;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
5;3;7;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
6;10;13;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
7;11;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
8;16;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
9;7;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
10;18;14;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
11;18;17;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
12;4;15;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
13;4;8;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
14;7;3;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
15;8;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
16;13;5;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
17;14;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
18;18;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
19;9;16;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
20;18;2;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
21;5;8;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
22;5;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
23;1;17;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
24;8;18;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
25;15;13;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
26;16;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
27;16;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
28;7;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
29;15;18;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
30;17;8;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
31;16;3;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
32;11;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
33;11;16;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
34;12;1;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
35;14;6;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
36;14;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
37;3;4;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
38;18;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
39;16;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
40;8;16;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
