index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;5;12;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
2;11;16;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
3;18;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
4;9;1;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
5;18;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
6;4;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
7;11;18;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
8;14;4;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
9;1;17;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
10;5;16;4;20000;16;6;50000;16;200;0.0005;0.0005;0.0005
11;7;11;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
12;1;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
13;11;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
14;2;10;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
15;15;10;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
16;5;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
17;4;16;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
18;8;2;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
19;3;16;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
20;14;9;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
21;8;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
22;16;7;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
23;13;3;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
24;10;3;4;20000;16;6;50000;16;200;0.0005;0.0005;0.0005
25;18;9;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
26;17;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
27;11;17;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
28;8;3;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
29;6;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
30;8;5;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
31;17;4;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
32;17;11;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
33;12;16;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
34;2;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
35;17;16;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
36;3;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
37;9;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
38;11;4;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
39;14;15;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
40;13;18;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
41;16;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
42;4;12;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
43;6;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
44;16;14;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
45;8;15;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
46;16;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
47;1;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
48;5;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
49;11;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
50;17;1;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
51;18;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
52;1;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
53;13;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
54;15;10;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
55;8;15;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
56;14;13;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
57;17;12;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
58;12;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
59;5;6;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
60;10;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
61;6;1;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
62;15;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
63;8;1;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
64;16;4;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
65;1;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
66;9;16;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
67;3;2;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
68;15;14;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
69;3;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
