index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;4;11;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
2;5;15;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
3;1;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
4;13;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
5;6;3;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
6;4;10;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
7;9;13;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
8;17;1;4;20000;16;6;50000;16;200;0.0005;0.0005;0.0005
9;2;6;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
10;14;15;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
11;13;3;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
12;14;13;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
13;11;16;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
14;12;2;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
15;8;14;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
16;1;7;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
17;3;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
18;15;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
19;16;1;4;20000;16;6;50000;16;200;0.0005;0.0005;0.0005
20;7;8;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
21;12;16;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
22;12;6;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
23;4;9;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
24;6;5;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
25;10;15;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
26;7;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
27;9;3;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
28;3;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
29;11;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
30;6;8;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
31;17;13;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
32;8;14;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
33;17;12;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
34;1;5;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
35;5;13;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
36;14;3;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
37;1;10;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
38;1;5;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
39;9;3;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
40;11;5;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
