index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;4;11;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
2;5;15;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
3;1;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
4;13;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
5;6;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
6;4;10;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
7;9;13;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
8;17;1;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
9;2;6;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
10;14;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
11;13;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
12;14;13;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
13;11;16;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
14;12;2;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
15;8;14;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
16;1;7;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
17;3;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
18;15;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
19;16;1;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
20;7;8;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
21;12;16;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
22;12;6;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
23;4;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
24;6;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
25;10;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
26;7;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
27;9;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
28;3;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
29;11;4;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
30;6;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
31;17;13;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
32;8;14;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
33;17;12;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
34;1;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
35;5;13;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
36;14;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
37;1;10;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
38;1;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
39;9;3;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
40;11;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
