Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;2;1100;120;0;14;3.3456934155289335e-07;2.580521314010332e-06;2.1923929688309374e-07;4.334323754858672e-06;5.408431221376782e-07;6.492204130318971e-06
2;1;3;1600;120;0;20;4.796354727527982e-07;3.944050216006913e-06;3.140320599365598e-07;6.304470916158068e-06;7.746881246293242e-07;9.443206007736683e-06
3;1;8;2800;120;0;35;8.393620773173968e-07;6.902087878012099e-06;5.495561048889796e-07;1.103282410327662e-05;1.3557042181013173e-06;1.6525610513539197e-05
4;2;3;600;120;0;8;1.893028206961506e-07;1.2447878094945345e-06;1.2433539209253483e-07;2.3641765935592754e-06;3.0672394323266274e-07;3.541202252901257e-06
5;2;4;1000;120;0;13;3.093221839512645e-07;2.2162081056655508e-06;2.0290486765890886e-07;3.940294322598793e-06;5.005475919770616e-07;5.902003754835427e-06
6;3;6;2000;120;0;25;5.995443409409978e-07;4.930062770008642e-06;3.9254007492069977e-07;7.880588645197585e-06;9.683601557866553e-07;1.1804007509670854e-05
7;4;5;600;120;0;8;1.893028206961506e-07;1.2447878094945345e-06;1.2433539209253483e-07;2.3641765935592754e-06;3.0672394323266274e-07;3.541202252901257e-06
8;4;11;2400;120;0;30;7.194532091291973e-07;5.91607532401037e-06;4.710480899048397e-07;9.456706374237102e-06;1.1620321869439864e-06;1.4164809011605027e-05
9;5;6;1100;120;0;14;3.3456934155289335e-07;2.580521314010332e-06;2.1923929688309374e-07;4.334323754858672e-06;5.408431221376782e-07;6.492204130318971e-06
10;5;7;800;120;0;10;2.398177363763991e-07;1.9720251080034567e-06;1.570160299682799e-07;3.152235458079034e-06;3.873440623146621e-07;4.7216030038683416e-06
11;6;10;1200;120;0;15;3.597266045645987e-07;2.958037662005185e-06;2.3552404495241985e-07;4.728353187118551e-06;5.810160934719932e-07;7.082404505802514e-06
12;6;13;2000;120;0;25;5.995443409409978e-07;4.930062770008642e-06;3.9254007492069977e-07;7.880588645197585e-06;9.683601557866553e-07;1.1804007509670854e-05
13;7;8;700;120;0;9;2.1463910176740745e-07;1.5977286459546883e-06;1.4071948887022852e-07;2.758206025819155e-06;3.4714199866630546e-07;4.131402628384799e-06
14;8;9;700;120;0;9;2.1463910176740745e-07;1.5977286459546883e-06;1.4071948887022852e-07;2.758206025819155e-06;3.4714199866630546e-07;4.131402628384799e-06
15;9;10;900;120;0;12;2.8395423104422586e-07;1.8671817142418017e-06;1.8650308813880224e-07;3.546264890338913e-06;4.6008591484899413e-07;5.311803379351886e-06
16;9;12;500;120;0;7;1.637116779598336e-07;9.186119038084532e-07;1.0780755904826011e-07;1.9701471612993964e-06;2.659513036880176e-07;2.9510018774177136e-06
17;9;14;500;120;0;7;1.637116779598336e-07;9.186119038084532e-07;1.0780755904826011e-07;1.9701471612993964e-06;2.659513036880176e-07;2.9510018774177136e-06
18;11;12;800;120;0;10;2.398177363763991e-07;1.9720251080034567e-06;1.570160299682799e-07;3.152235458079034e-06;3.873440623146621e-07;4.7216030038683416e-06
19;11;14;800;120;0;10;2.398177363763991e-07;1.9720251080034567e-06;1.570160299682799e-07;3.152235458079034e-06;3.873440623146621e-07;4.7216030038683416e-06
20;12;13;300;120;0;4;9.46514103480753e-08;6.223939047472673e-07;6.216769604626741e-08;1.1820882967796377e-06;1.5336197161633137e-07;1.7706011264506284e-06
21;13;14;300;120;0;4;9.46514103480753e-08;6.223939047472673e-07;6.216769604626741e-08;1.1820882967796377e-06;1.5336197161633137e-07;1.7706011264506284e-06
