Index;Origin;Destination;length;slices;cost
1;1;14;122.159614;80;88.2957684
2;2;14;111.329291;80;66.7975746
3;3;14;96.77429877;80;58.0645793
4;3;4;255.6113557;80;153.366813
5;2;3;138.7245441;80;83.2347265
6;2;4;241.0052667;80;144.60316
7;4;7;146.9514115;80;88.1708469
8;2;7;204.0903129;80;122.454188
9;7;15;296.5542238;80;177.932534
10;6;7;232.0027323;80;139.201639
11;6;15;181.4204616;80;108.852277
12;13;15;68.29691306;80;40.9781478
13;10;15;154.6249962;80;92.7749977
14;10;16;69.68742918;80;41.8124575
15;9;10;36.65496438;80;21.9929786
16;8;9;27.32678167;80;16.396069
17;8;16;25.98485353;80;15.5909121
18;1;16;234.4354302;80;140.661258
19;2;16;193.9390658;80;116.363439
20;13;17;50.57687676;80;30.3461261
21;12;17;65.71334811;80;39.4280089
22;11;12;74.25440314;80;44.5526419
23;6;12;154.4681548;80;92.6808929
24;5;11;121.2333043;80;72.7399826
25;5;6;151.2163509;80;90.7298105
