index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;8;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;7;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;14;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;12;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;14;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;12;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;7;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;1;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;1;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;2;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;15;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;8;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;10;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;3;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
