index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;5;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;6;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;17;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;1;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;13;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;5;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;16;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
15;18;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;18;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;3;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
18;11;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
19;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;1;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
23;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;13;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
25;17;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;4;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;14;2;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
30;11;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;12;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
33;3;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
35;16;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
36;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;2;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;15;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;5;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;18;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;10;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;17;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;17;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;8;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;11;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;8;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
48;17;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;9;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
50;9;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
