index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;5;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;14;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
9;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
10;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;12;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
13;5;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
21;7;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
22;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;9;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
28;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;12;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;14;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;11;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
35;1;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
38;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
