index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;12;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;10;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;5;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;4;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;16;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;16;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;15;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;6;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;6;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;10;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;12;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;17;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;14;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;6;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;11;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;11;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
