index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;11;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;13;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;4;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;3;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;4;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;15;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;1;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;13;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;9;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;2;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;5;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
15;13;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;17;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;3;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;5;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
19;14;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;5;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
21;5;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;2;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;5;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;17;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;16;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;9;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;15;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;16;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;16;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;17;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;16;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
