index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
2;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
6;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;5;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
