index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;5;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;5;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;1;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;3;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;1;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;2;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;3;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;6;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;6;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;6;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
