index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;15;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
2;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;3;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
4;1;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;10;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;18;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;15;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;11;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;18;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;3;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
11;4;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;11;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
15;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;17;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;6;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;8;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;1;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;3;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;15;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;18;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;11;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;11;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;10;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
29;13;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
30;13;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;9;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;5;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;12;3;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
36;1;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;12;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
39;8;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;5;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
