index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;7;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;16;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;13;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;8;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;8;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;11;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;11;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;8;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
15;16;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;7;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;2;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;16;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
22;6;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;14;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
24;6;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
25;14;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;7;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;1;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;14;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
30;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;7;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;14;18;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
33;10;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;11;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
35;15;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;16;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;17;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;17;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;2;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;2;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;13;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;15;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;17;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;7;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;8;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;5;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
