index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;5;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;6;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;3;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;6;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;5;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;5;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;1;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;2;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
23;2;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;5;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;1;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;1;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
