index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;2;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;1;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
10;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;4;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;3;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;5;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;5;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;1;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;1;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;1;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
31;2;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
32;1;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;5;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;3;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
37;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;1;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;1;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
42;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
43;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;4;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;6;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;3;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
49;1;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
