index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;7;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;4;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;15;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;18;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;17;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;17;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;16;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;18;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;1;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;1;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;18;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;10;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;15;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;16;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;18;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;9;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
