index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;17;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;6;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;15;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;15;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;7;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;16;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;8;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;4;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;1;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;5;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;16;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;12;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;5;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
18;7;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;10;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
