index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;1;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
2;10;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;12;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
5;8;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;17;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;2;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
12;4;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;8;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;7;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;3;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;15;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;7;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;15;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;9;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;14;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;4;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;6;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;3;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;11;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;15;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;14;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;8;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
31;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;13;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
33;3;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;11;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;6;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;15;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
37;7;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;1;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;7;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
40;2;6;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
41;16;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
42;17;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;16;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
44;16;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;12;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;7;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;12;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;7;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;12;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;17;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
