index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;5;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
6;7;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
8;7;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
9;5;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
16;8;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;14;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;1;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
22;5;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;11;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
24;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;4;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
33;4;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;9;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;4;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;9;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;4;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
42;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;12;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
49;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;11;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
53;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
55;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
56;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
58;12;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;1;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
60;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
61;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
