index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;7;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;13;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;13;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;2;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;5;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;9;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;2;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;9;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;5;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;8;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;4;1;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
23;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;14;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
25;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;8;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
29;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;4;8;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
31;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
32;14;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;10;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;13;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
43;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
44;10;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;12;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
48;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
49;7;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
