index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;17;6;1000;24;0.00075;0.00075;0.00075
2;11;2;6;2000;21;0.00075;0.00075;0.00075
3;3;9;6;2000;21;0.00075;0.00075;0.00075
4;10;5;6;1000;24;0.00075;0.00075;0.00075
5;8;14;6;2000;21;0.00075;0.00075;0.00075
6;8;18;6;2000;21;0.00075;0.00075;0.00075
7;2;15;6;1000;24;0.00075;0.00075;0.00075
8;8;13;6;2000;21;0.00075;0.00075;0.00075
9;15;18;6;2000;21;0.00075;0.00075;0.00075
10;13;16;6;2000;21;0.00075;0.00075;0.00075
11;4;10;6;1000;24;0.00075;0.00075;0.00075
12;13;18;6;2500;16;0.00075;0.00075;0.00075
13;6;7;6;2000;21;0.00075;0.00075;0.00075
14;1;3;6;2000;21;0.00075;0.00075;0.00075
15;9;10;6;1000;24;0.00075;0.00075;0.00075
16;14;2;6;2500;16;0.00075;0.00075;0.00075
17;8;14;6;2000;21;0.00075;0.00075;0.00075
18;17;1;6;1000;24;0.00075;0.00075;0.00075
19;18;9;6;2000;21;0.00075;0.00075;0.00075
20;2;11;6;2000;21;0.00075;0.00075;0.00075
21;14;12;3;5000;13;0.000375;0.000375;0.000375
22;13;12;6;1000;24;0.00075;0.00075;0.00075
23;14;8;6;2000;21;0.00075;0.00075;0.00075
24;18;15;6;2000;21;0.00075;0.00075;0.00075
25;9;18;6;2000;21;0.00075;0.00075;0.00075
26;18;12;3;5000;13;0.000375;0.000375;0.000375
27;3;8;6;2000;21;0.00075;0.00075;0.00075
28;18;8;6;2000;21;0.00075;0.00075;0.00075
29;8;13;6;2000;21;0.00075;0.00075;0.00075
30;18;17;6;1000;24;0.00075;0.00075;0.00075
31;5;3;6;1000;24;0.00075;0.00075;0.00075
32;12;17;6;2500;16;0.00075;0.00075;0.00075
33;18;17;6;1000;24;0.00075;0.00075;0.00075
34;12;15;6;2000;21;0.00075;0.00075;0.00075
35;6;9;6;2000;21;0.00075;0.00075;0.00075
36;2;14;6;2500;16;0.00075;0.00075;0.00075
37;2;11;6;2000;21;0.00075;0.00075;0.00075
38;10;15;6;2000;21;0.00075;0.00075;0.00075
39;2;3;6;2000;21;0.00075;0.00075;0.00075
40;11;8;6;2500;16;0.00075;0.00075;0.00075
41;5;3;6;1000;24;0.00075;0.00075;0.00075
42;10;14;6;2500;16;0.00075;0.00075;0.00075
43;11;13;3;5000;13;0.000375;0.000375;0.000375
44;10;12;6;2500;16;0.00075;0.00075;0.00075
45;15;2;6;1000;24;0.00075;0.00075;0.00075
46;11;15;6;2500;16;0.00075;0.00075;0.00075
47;7;10;6;2000;21;0.00075;0.00075;0.00075
48;14;2;6;2500;16;0.00075;0.00075;0.00075
49;13;6;3;5000;13;0.000375;0.000375;0.000375
50;6;15;6;2500;16;0.00075;0.00075;0.00075
51;18;17;6;1000;24;0.00075;0.00075;0.00075
52;4;10;6;1000;24;0.00075;0.00075;0.00075
53;17;8;6;1000;24;0.00075;0.00075;0.00075
54;8;12;6;2000;21;0.00075;0.00075;0.00075
55;9;3;6;2000;21;0.00075;0.00075;0.00075
56;9;3;6;2000;21;0.00075;0.00075;0.00075
57;5;7;6;2000;21;0.00075;0.00075;0.00075
58;8;6;6;2500;16;0.00075;0.00075;0.00075
59;4;9;6;1000;24;0.00075;0.00075;0.00075
60;9;1;6;2000;21;0.00075;0.00075;0.00075
61;11;8;6;2500;16;0.00075;0.00075;0.00075
62;17;18;6;1000;24;0.00075;0.00075;0.00075
63;2;6;6;2000;21;0.00075;0.00075;0.00075
64;1;17;6;1000;24;0.00075;0.00075;0.00075
65;16;7;6;1000;24;0.00075;0.00075;0.00075
66;8;15;6;1000;24;0.00075;0.00075;0.00075
67;11;17;6;2500;16;0.00075;0.00075;0.00075
68;1;11;6;2000;21;0.00075;0.00075;0.00075
69;8;1;6;2000;21;0.00075;0.00075;0.00075
70;5;1;6;1000;24;0.00075;0.00075;0.00075
71;9;10;6;1000;24;0.00075;0.00075;0.00075
72;5;9;6;1000;24;0.00075;0.00075;0.00075
73;16;6;6;2000;21;0.00075;0.00075;0.00075
74;4;8;6;2000;21;0.00075;0.00075;0.00075
75;15;3;6;2000;21;0.00075;0.00075;0.00075
76;14;18;6;2000;21;0.00075;0.00075;0.00075
77;13;16;6;2000;21;0.00075;0.00075;0.00075
78;4;14;6;2500;16;0.00075;0.00075;0.00075
79;15;5;6;2000;21;0.00075;0.00075;0.00075
80;17;8;6;1000;24;0.00075;0.00075;0.00075
81;7;18;6;2500;16;0.00075;0.00075;0.00075
82;15;8;6;1000;24;0.00075;0.00075;0.00075
83;13;1;6;2500;16;0.00075;0.00075;0.00075
84;11;4;6;2000;21;0.00075;0.00075;0.00075
85;14;17;6;2000;21;0.00075;0.00075;0.00075
86;13;10;6;2000;21;0.00075;0.00075;0.00075
87;4;16;6;1000;24;0.00075;0.00075;0.00075
88;16;9;6;1000;24;0.00075;0.00075;0.00075
89;5;10;6;1000;24;0.00075;0.00075;0.00075
90;13;6;3;5000;13;0.000375;0.000375;0.000375
91;11;7;6;2000;21;0.00075;0.00075;0.00075
92;16;1;6;2000;21;0.00075;0.00075;0.00075
93;8;12;6;2000;21;0.00075;0.00075;0.00075
94;2;15;6;1000;24;0.00075;0.00075;0.00075
95;8;6;6;2500;16;0.00075;0.00075;0.00075
96;10;8;6;2000;21;0.00075;0.00075;0.00075
97;17;10;6;2000;21;0.00075;0.00075;0.00075
98;10;7;6;2000;21;0.00075;0.00075;0.00075
99;10;4;6;1000;24;0.00075;0.00075;0.00075
100;8;16;6;2000;21;0.00075;0.00075;0.00075
101;18;15;6;2000;21;0.00075;0.00075;0.00075
102;1;16;6;2000;21;0.00075;0.00075;0.00075
103;16;14;6;2500;16;0.00075;0.00075;0.00075
104;13;18;6;2500;16;0.00075;0.00075;0.00075
105;3;7;6;2000;21;0.00075;0.00075;0.00075
106;6;8;6;2500;16;0.00075;0.00075;0.00075
107;1;13;6;2500;16;0.00075;0.00075;0.00075
108;10;3;6;2000;21;0.00075;0.00075;0.00075
109;14;17;6;2000;21;0.00075;0.00075;0.00075
110;2;6;6;2000;21;0.00075;0.00075;0.00075
111;17;1;6;1000;24;0.00075;0.00075;0.00075
112;15;6;6;2500;16;0.00075;0.00075;0.00075
113;6;5;6;2000;21;0.00075;0.00075;0.00075
