index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;9;6;6;2000;21;0.00075;0.00075;0.00075
2;5;2;6;1000;24;0.00075;0.00075;0.00075
3;16;14;6;2500;16;0.00075;0.00075;0.00075
4;15;9;6;1000;24;0.00075;0.00075;0.00075
5;12;11;3;5000;13;0.000375;0.000375;0.000375
6;12;5;6;2500;16;0.00075;0.00075;0.00075
7;14;18;6;2000;21;0.00075;0.00075;0.00075
8;15;1;6;1000;24;0.00075;0.00075;0.00075
9;18;13;6;2500;16;0.00075;0.00075;0.00075
10;17;8;6;1000;24;0.00075;0.00075;0.00075
11;13;12;6;1000;24;0.00075;0.00075;0.00075
12;14;1;6;2000;21;0.00075;0.00075;0.00075
13;1;2;6;2000;21;0.00075;0.00075;0.00075
14;5;4;6;2000;21;0.00075;0.00075;0.00075
15;9;2;6;1000;24;0.00075;0.00075;0.00075
16;8;3;6;2000;21;0.00075;0.00075;0.00075
17;10;8;6;2000;21;0.00075;0.00075;0.00075
18;18;6;6;2000;21;0.00075;0.00075;0.00075
19;3;14;6;2500;16;0.00075;0.00075;0.00075
20;4;8;6;2000;21;0.00075;0.00075;0.00075
21;6;5;6;2000;21;0.00075;0.00075;0.00075
22;13;3;6;2500;16;0.00075;0.00075;0.00075
23;11;14;3;5000;13;0.000375;0.000375;0.000375
24;16;17;6;2000;21;0.00075;0.00075;0.00075
25;2;6;6;2000;21;0.00075;0.00075;0.00075
26;2;18;6;2000;21;0.00075;0.00075;0.00075
27;18;14;6;2000;21;0.00075;0.00075;0.00075
28;6;14;3;5000;13;0.000375;0.000375;0.000375
29;4;14;6;2500;16;0.00075;0.00075;0.00075
30;6;4;6;2500;16;0.00075;0.00075;0.00075
31;17;2;6;2000;21;0.00075;0.00075;0.00075
32;4;15;6;1000;24;0.00075;0.00075;0.00075
33;4;9;6;1000;24;0.00075;0.00075;0.00075
34;7;5;6;2000;21;0.00075;0.00075;0.00075
35;7;12;6;2500;16;0.00075;0.00075;0.00075
36;17;4;6;2000;21;0.00075;0.00075;0.00075
37;12;10;6;2500;16;0.00075;0.00075;0.00075
38;10;9;6;1000;24;0.00075;0.00075;0.00075
39;1;10;6;2000;21;0.00075;0.00075;0.00075
40;11;18;6;2000;21;0.00075;0.00075;0.00075
41;6;11;6;1000;24;0.00075;0.00075;0.00075
42;9;7;6;2000;21;0.00075;0.00075;0.00075
43;7;11;6;2000;21;0.00075;0.00075;0.00075
44;7;11;6;2000;21;0.00075;0.00075;0.00075
45;18;14;6;2000;21;0.00075;0.00075;0.00075
46;14;6;3;5000;13;0.000375;0.000375;0.000375
47;7;17;6;2500;16;0.00075;0.00075;0.00075
48;7;1;6;2500;16;0.00075;0.00075;0.00075
49;15;2;6;1000;24;0.00075;0.00075;0.00075
50;17;12;6;2500;16;0.00075;0.00075;0.00075
