index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;12;11;6;1000;24;0.00075;0.00075;0.00075
2;9;17;6;2000;21;0.00075;0.00075;0.00075
3;16;7;6;2000;21;0.00075;0.00075;0.00075
4;10;12;6;1000;24;0.00075;0.00075;0.00075
5;9;10;6;1000;24;0.00075;0.00075;0.00075
6;12;7;6;1000;24;0.00075;0.00075;0.00075
7;8;14;6;1000;24;0.00075;0.00075;0.00075
8;14;10;6;2000;21;0.00075;0.00075;0.00075
9;13;8;6;1000;24;0.00075;0.00075;0.00075
10;4;2;6;1000;24;0.00075;0.00075;0.00075
11;11;17;6;1000;24;0.00075;0.00075;0.00075
12;3;1;6;1000;24;0.00075;0.00075;0.00075
13;6;4;6;2000;21;0.00075;0.00075;0.00075
14;17;12;6;2000;21;0.00075;0.00075;0.00075
15;11;2;6;1000;24;0.00075;0.00075;0.00075
16;16;17;6;1000;24;0.00075;0.00075;0.00075
17;4;3;6;1000;24;0.00075;0.00075;0.00075
18;11;17;6;1000;24;0.00075;0.00075;0.00075
19;2;15;6;2000;21;0.00075;0.00075;0.00075
20;13;6;6;2000;21;0.00075;0.00075;0.00075
