index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;14;16;6;1000;24;0.00075;0.00075;0.00075
2;13;5;6;1000;24;0.00075;0.00075;0.00075
3;6;15;6;2000;21;0.00075;0.00075;0.00075
4;12;2;6;2000;21;0.00075;0.00075;0.00075
5;15;2;6;2000;21;0.00075;0.00075;0.00075
6;15;14;6;1000;24;0.00075;0.00075;0.00075
7;6;10;6;1000;24;0.00075;0.00075;0.00075
8;16;10;6;2000;21;0.00075;0.00075;0.00075
9;3;15;6;2000;21;0.00075;0.00075;0.00075
10;11;7;6;1000;24;0.00075;0.00075;0.00075
11;13;1;6;2000;21;0.00075;0.00075;0.00075
12;2;7;6;2000;21;0.00075;0.00075;0.00075
13;2;13;6;2000;21;0.00075;0.00075;0.00075
14;3;16;6;2000;21;0.00075;0.00075;0.00075
15;12;14;6;1000;24;0.00075;0.00075;0.00075
16;12;11;6;1000;24;0.00075;0.00075;0.00075
17;10;15;6;1000;24;0.00075;0.00075;0.00075
18;7;11;6;1000;24;0.00075;0.00075;0.00075
19;10;14;6;2000;21;0.00075;0.00075;0.00075
20;8;15;6;2000;21;0.00075;0.00075;0.00075
21;6;8;6;1000;24;0.00075;0.00075;0.00075
22;6;2;6;1000;24;0.00075;0.00075;0.00075
23;16;17;6;1000;24;0.00075;0.00075;0.00075
24;12;9;6;1000;24;0.00075;0.00075;0.00075
25;6;12;6;2000;21;0.00075;0.00075;0.00075
26;14;5;6;2000;21;0.00075;0.00075;0.00075
27;14;7;6;2000;21;0.00075;0.00075;0.00075
28;9;16;6;2000;21;0.00075;0.00075;0.00075
29;11;4;6;1000;24;0.00075;0.00075;0.00075
30;8;9;6;1000;24;0.00075;0.00075;0.00075
31;5;4;6;1000;24;0.00075;0.00075;0.00075
32;5;12;6;1000;24;0.00075;0.00075;0.00075
33;16;15;6;1000;24;0.00075;0.00075;0.00075
34;10;5;6;1000;24;0.00075;0.00075;0.00075
35;6;7;6;1000;24;0.00075;0.00075;0.00075
36;14;8;6;1000;24;0.00075;0.00075;0.00075
37;2;5;6;1000;24;0.00075;0.00075;0.00075
38;2;16;6;2000;21;0.00075;0.00075;0.00075
39;11;13;6;1000;24;0.00075;0.00075;0.00075
40;15;11;6;1000;24;0.00075;0.00075;0.00075
