index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;4;6;1000;24;0.00075;0.00075;0.00075
2;2;11;6;1000;24;0.00075;0.00075;0.00075
3;2;17;6;2000;21;0.00075;0.00075;0.00075
4;4;11;6;1000;24;0.00075;0.00075;0.00075
5;4;17;6;2000;21;0.00075;0.00075;0.00075
6;11;17;6;1000;24;0.00075;0.00075;0.00075
7;1;4;6;2000;21;0.00075;0.00075;0.00075
8;1;11;6;2000;21;0.00075;0.00075;0.00075
9;1;2;6;1000;24;0.00075;0.00075;0.00075
10;2;3;6;1000;24;0.00075;0.00075;0.00075
11;3;4;6;1000;24;0.00075;0.00075;0.00075
12;3;17;6;2000;21;0.00075;0.00075;0.00075
13;5;17;6;2000;21;0.00075;0.00075;0.00075
14;5;11;6;1000;24;0.00075;0.00075;0.00075
15;2;5;6;1000;24;0.00075;0.00075;0.00075
16;4;6;6;2000;21;0.00075;0.00075;0.00075
17;6;17;6;2000;21;0.00075;0.00075;0.00075
18;2;6;6;1000;24;0.00075;0.00075;0.00075
19;7;11;6;1000;24;0.00075;0.00075;0.00075
20;7;17;6;2000;21;0.00075;0.00075;0.00075
21;2;7;6;2000;21;0.00075;0.00075;0.00075
22;8;17;6;2000;21;0.00075;0.00075;0.00075
23;4;8;6;2000;21;0.00075;0.00075;0.00075
24;2;8;6;1000;24;0.00075;0.00075;0.00075
25;2;9;6;1000;24;0.00075;0.00075;0.00075
26;9;17;6;2000;21;0.00075;0.00075;0.00075
27;4;9;6;1000;24;0.00075;0.00075;0.00075
28;2;10;6;1000;24;0.00075;0.00075;0.00075
29;10;17;6;1000;24;0.00075;0.00075;0.00075
30;10;11;6;1000;24;0.00075;0.00075;0.00075
31;11;12;6;1000;24;0.00075;0.00075;0.00075
32;2;12;6;2000;21;0.00075;0.00075;0.00075
33;4;12;6;2000;21;0.00075;0.00075;0.00075
34;2;13;6;2000;21;0.00075;0.00075;0.00075
35;13;17;6;1000;24;0.00075;0.00075;0.00075
36;4;13;6;1000;24;0.00075;0.00075;0.00075
37;11;14;6;1000;24;0.00075;0.00075;0.00075
38;2;14;6;2000;21;0.00075;0.00075;0.00075
39;14;17;6;1000;24;0.00075;0.00075;0.00075
40;15;17;6;1000;24;0.00075;0.00075;0.00075
41;2;15;6;2000;21;0.00075;0.00075;0.00075
42;4;15;6;2000;21;0.00075;0.00075;0.00075
43;2;16;6;2000;21;0.00075;0.00075;0.00075
44;16;17;6;1000;24;0.00075;0.00075;0.00075
45;11;16;6;2000;21;0.00075;0.00075;0.00075
