index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;12;15;6;1000;24;0.00075;0.00075;0.00075
2;5;11;6;1000;24;0.00075;0.00075;0.00075
3;8;7;6;1000;24;0.00075;0.00075;0.00075
4;12;2;6;2000;21;0.00075;0.00075;0.00075
5;15;3;6;2000;21;0.00075;0.00075;0.00075
6;4;1;6;2000;21;0.00075;0.00075;0.00075
7;7;5;6;1000;24;0.00075;0.00075;0.00075
8;10;8;6;1000;24;0.00075;0.00075;0.00075
9;3;5;6;1000;24;0.00075;0.00075;0.00075
10;14;17;6;1000;24;0.00075;0.00075;0.00075
11;6;3;6;1000;24;0.00075;0.00075;0.00075
12;2;15;6;2000;21;0.00075;0.00075;0.00075
13;10;6;6;1000;24;0.00075;0.00075;0.00075
14;16;10;6;2000;21;0.00075;0.00075;0.00075
15;3;9;6;1000;24;0.00075;0.00075;0.00075
16;6;9;6;1000;24;0.00075;0.00075;0.00075
17;10;17;6;1000;24;0.00075;0.00075;0.00075
18;15;1;6;2000;21;0.00075;0.00075;0.00075
19;13;2;6;2000;21;0.00075;0.00075;0.00075
20;3;1;6;1000;24;0.00075;0.00075;0.00075
21;15;2;6;2000;21;0.00075;0.00075;0.00075
22;15;14;6;1000;24;0.00075;0.00075;0.00075
23;2;17;6;2000;21;0.00075;0.00075;0.00075
24;6;11;6;1000;24;0.00075;0.00075;0.00075
25;11;15;6;1000;24;0.00075;0.00075;0.00075
26;16;1;6;2500;16;0.00075;0.00075;0.00075
27;7;13;6;1000;24;0.00075;0.00075;0.00075
28;11;10;6;1000;24;0.00075;0.00075;0.00075
29;6;11;6;1000;24;0.00075;0.00075;0.00075
30;17;5;6;2000;21;0.00075;0.00075;0.00075
31;8;5;6;1000;24;0.00075;0.00075;0.00075
32;13;15;6;1000;24;0.00075;0.00075;0.00075
33;15;5;6;2000;21;0.00075;0.00075;0.00075
34;4;8;6;2000;21;0.00075;0.00075;0.00075
35;16;10;6;2000;21;0.00075;0.00075;0.00075
36;2;11;6;1000;24;0.00075;0.00075;0.00075
37;4;17;6;2000;21;0.00075;0.00075;0.00075
38;2;16;6;2000;21;0.00075;0.00075;0.00075
39;7;5;6;1000;24;0.00075;0.00075;0.00075
40;14;6;6;2000;21;0.00075;0.00075;0.00075
41;8;14;6;1000;24;0.00075;0.00075;0.00075
42;15;17;6;1000;24;0.00075;0.00075;0.00075
43;3;8;6;1000;24;0.00075;0.00075;0.00075
44;16;8;6;2000;21;0.00075;0.00075;0.00075
45;12;16;6;1000;24;0.00075;0.00075;0.00075
46;16;6;6;2000;21;0.00075;0.00075;0.00075
47;17;5;6;2000;21;0.00075;0.00075;0.00075
48;1;5;6;1000;24;0.00075;0.00075;0.00075
49;12;8;6;1000;24;0.00075;0.00075;0.00075
50;8;15;6;2000;21;0.00075;0.00075;0.00075
51;3;5;6;1000;24;0.00075;0.00075;0.00075
52;11;3;6;1000;24;0.00075;0.00075;0.00075
53;6;14;6;2000;21;0.00075;0.00075;0.00075
54;13;3;6;2000;21;0.00075;0.00075;0.00075
55;5;8;6;1000;24;0.00075;0.00075;0.00075
56;10;5;6;1000;24;0.00075;0.00075;0.00075
57;11;17;6;1000;24;0.00075;0.00075;0.00075
58;14;5;6;2000;21;0.00075;0.00075;0.00075
59;3;7;6;2000;21;0.00075;0.00075;0.00075
60;10;9;6;1000;24;0.00075;0.00075;0.00075
