index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;2;6;1000;24;0.00075;0.00075;0.00075
2;1;3;6;1000;24;0.00075;0.00075;0.00075
3;1;4;6;2000;21;0.00075;0.00075;0.00075
4;1;5;6;2000;21;0.00075;0.00075;0.00075
5;1;6;6;2000;21;0.00075;0.00075;0.00075
6;1;7;6;2000;21;0.00075;0.00075;0.00075
7;1;8;6;2000;21;0.00075;0.00075;0.00075
8;1;9;6;2500;16;0.00075;0.00075;0.00075
9;2;3;6;1000;24;0.00075;0.00075;0.00075
10;2;4;6;1000;24;0.00075;0.00075;0.00075
11;2;5;6;2000;21;0.00075;0.00075;0.00075
12;2;6;6;2000;21;0.00075;0.00075;0.00075
13;2;7;6;2000;21;0.00075;0.00075;0.00075
14;2;8;6;2000;21;0.00075;0.00075;0.00075
15;2;9;6;2000;21;0.00075;0.00075;0.00075
16;3;4;6;2000;21;0.00075;0.00075;0.00075
17;3;5;6;1000;24;0.00075;0.00075;0.00075
18;3;6;6;2000;21;0.00075;0.00075;0.00075
19;3;7;6;2000;21;0.00075;0.00075;0.00075
20;3;8;6;2000;21;0.00075;0.00075;0.00075
21;3;9;6;2000;21;0.00075;0.00075;0.00075
22;4;5;6;1000;24;0.00075;0.00075;0.00075
23;4;6;6;1000;24;0.00075;0.00075;0.00075
24;4;7;6;1000;24;0.00075;0.00075;0.00075
25;4;8;6;2000;21;0.00075;0.00075;0.00075
26;4;9;6;2000;21;0.00075;0.00075;0.00075
27;5;6;6;1000;24;0.00075;0.00075;0.00075
28;5;7;6;1000;24;0.00075;0.00075;0.00075
29;5;8;6;1000;24;0.00075;0.00075;0.00075
30;5;9;6;2000;21;0.00075;0.00075;0.00075
31;6;7;6;1000;24;0.00075;0.00075;0.00075
32;6;8;6;1000;24;0.00075;0.00075;0.00075
33;6;9;6;1000;24;0.00075;0.00075;0.00075
34;7;8;6;1000;24;0.00075;0.00075;0.00075
35;7;9;6;1000;24;0.00075;0.00075;0.00075
36;8;9;6;1000;24;0.00075;0.00075;0.00075
