index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;14;3;3;5000;13;0.000375;0.000375;0.000375
2;3;1;6;2000;21;0.00075;0.00075;0.00075
3;6;13;6;2500;16;0.00075;0.00075;0.00075
4;8;5;6;2000;21;0.00075;0.00075;0.00075
5;8;5;6;2000;21;0.00075;0.00075;0.00075
6;12;3;3;5000;13;0.000375;0.000375;0.000375
7;8;2;3;5000;13;0.000375;0.000375;0.000375
8;9;6;6;2500;16;0.00075;0.00075;0.00075
9;6;9;6;2500;16;0.00075;0.00075;0.00075
10;6;2;3;5000;13;0.000375;0.000375;0.000375
11;4;6;6;2000;21;0.00075;0.00075;0.00075
12;11;13;6;2000;21;0.00075;0.00075;0.00075
13;8;6;3;5000;13;0.000375;0.000375;0.000375
14;12;3;3;5000;13;0.000375;0.000375;0.000375
15;6;7;6;2500;16;0.00075;0.00075;0.00075
16;5;4;6;1000;24;0.00075;0.00075;0.00075
17;13;7;6;2500;16;0.00075;0.00075;0.00075
18;12;8;6;2000;21;0.00075;0.00075;0.00075
19;6;1;3;5000;13;0.000375;0.000375;0.000375
20;6;7;6;2500;16;0.00075;0.00075;0.00075
21;14;12;6;1000;24;0.00075;0.00075;0.00075
22;4;8;6;2500;16;0.00075;0.00075;0.00075
23;8;11;6;2500;16;0.00075;0.00075;0.00075
24;2;11;3;5000;13;0.000375;0.000375;0.000375
25;2;7;6;2500;16;0.00075;0.00075;0.00075
26;3;10;3;5000;13;0.000375;0.000375;0.000375
27;14;7;6;2500;16;0.00075;0.00075;0.00075
28;12;9;6;1000;24;0.00075;0.00075;0.00075
29;12;1;3;5000;13;0.000375;0.000375;0.000375
30;5;14;3;5000;13;0.000375;0.000375;0.000375
31;13;2;3;5000;13;0.000375;0.000375;0.000375
32;3;10;3;5000;13;0.000375;0.000375;0.000375
33;5;14;3;5000;13;0.000375;0.000375;0.000375
34;11;7;3;5000;13;0.000375;0.000375;0.000375
35;4;14;3;5000;13;0.000375;0.000375;0.000375
36;2;6;3;5000;13;0.000375;0.000375;0.000375
37;6;10;6;2000;21;0.00075;0.00075;0.00075
38;2;1;6;2000;21;0.00075;0.00075;0.00075
39;7;10;6;2500;16;0.00075;0.00075;0.00075
40;5;10;6;2500;16;0.00075;0.00075;0.00075
41;14;13;6;1000;24;0.00075;0.00075;0.00075
42;9;8;6;1000;24;0.00075;0.00075;0.00075
43;3;1;6;2000;21;0.00075;0.00075;0.00075
44;10;7;6;2500;16;0.00075;0.00075;0.00075
45;13;4;3;5000;13;0.000375;0.000375;0.000375
46;7;8;6;1000;24;0.00075;0.00075;0.00075
47;6;9;6;2500;16;0.00075;0.00075;0.00075
48;6;3;6;2500;16;0.00075;0.00075;0.00075
49;9;4;3;5000;13;0.000375;0.000375;0.000375
50;14;9;6;1000;24;0.00075;0.00075;0.00075
51;3;8;3;5000;13;0.000375;0.000375;0.000375
52;8;2;3;5000;13;0.000375;0.000375;0.000375
53;6;4;6;2000;21;0.00075;0.00075;0.00075
54;8;14;6;2000;21;0.00075;0.00075;0.00075
55;14;4;3;5000;13;0.000375;0.000375;0.000375
56;14;1;3;5000;13;0.000375;0.000375;0.000375
