index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;11;7;6;2500;16;0.00075;0.00075;0.00075
2;1;8;6;2500;16;0.00075;0.00075;0.00075
3;3;27;6;2000;21;0.00075;0.00075;0.00075
4;21;7;6;2500;16;0.00075;0.00075;0.00075
5;24;25;6;2500;16;0.00075;0.00075;0.00075
6;22;8;6;2500;16;0.00075;0.00075;0.00075
7;6;8;6;2000;21;0.00075;0.00075;0.00075
8;23;9;6;2500;16;0.00075;0.00075;0.00075
9;26;22;6;2000;21;0.00075;0.00075;0.00075
10;7;5;6;2000;21;0.00075;0.00075;0.00075
11;8;21;3;5000;13;0.000375;0.000375;0.000375
12;15;32;6;1000;24;0.00075;0.00075;0.00075
13;6;23;6;2500;16;0.00075;0.00075;0.00075
14;17;18;6;2000;21;0.00075;0.00075;0.00075
15;30;26;6;2500;16;0.00075;0.00075;0.00075
16;2;12;6;1000;24;0.00075;0.00075;0.00075
17;10;19;6;1000;24;0.00075;0.00075;0.00075
18;1;10;6;2000;21;0.00075;0.00075;0.00075
19;17;15;6;2500;16;0.00075;0.00075;0.00075
20;11;31;6;2000;21;0.00075;0.00075;0.00075
21;27;25;6;2000;21;0.00075;0.00075;0.00075
22;31;13;6;2000;21;0.00075;0.00075;0.00075
23;21;9;6;2500;16;0.00075;0.00075;0.00075
24;16;29;6;2000;21;0.00075;0.00075;0.00075
25;12;31;6;2000;21;0.00075;0.00075;0.00075
26;16;8;6;2500;16;0.00075;0.00075;0.00075
27;10;30;3;5000;13;0.000375;0.000375;0.000375
28;13;32;6;1000;24;0.00075;0.00075;0.00075
29;25;13;3;5000;13;0.000375;0.000375;0.000375
30;25;6;6;2000;21;0.00075;0.00075;0.00075
31;23;27;6;2500;16;0.00075;0.00075;0.00075
32;10;4;6;2500;16;0.00075;0.00075;0.00075
33;2;5;6;2000;21;0.00075;0.00075;0.00075
34;8;29;6;2000;21;0.00075;0.00075;0.00075
35;14;18;6;1000;24;0.00075;0.00075;0.00075
36;20;2;6;1000;24;0.00075;0.00075;0.00075
37;11;2;6;2500;16;0.00075;0.00075;0.00075
38;10;28;6;2500;16;0.00075;0.00075;0.00075
39;12;2;6;1000;24;0.00075;0.00075;0.00075
40;13;30;6;1000;24;0.00075;0.00075;0.00075
41;20;32;6;2500;16;0.00075;0.00075;0.00075
42;19;20;6;2500;16;0.00075;0.00075;0.00075
43;10;3;6;2000;21;0.00075;0.00075;0.00075
44;15;12;6;2000;21;0.00075;0.00075;0.00075
45;1;2;6;1000;24;0.00075;0.00075;0.00075
46;30;7;3;5000;13;0.000375;0.000375;0.000375
47;13;28;6;2000;21;0.00075;0.00075;0.00075
48;3;5;6;2000;21;0.00075;0.00075;0.00075
49;5;30;6;2500;16;0.00075;0.00075;0.00075
50;4;16;6;2000;21;0.00075;0.00075;0.00075
