index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;8;3;500;22;0.000375;0.000375;0.000375
2;1;7;3;500;22;0.000375;0.000375;0.000375
3;1;10;3;500;22;0.000375;0.000375;0.000375
4;2;9;3;500;22;0.000375;0.000375;0.000375
5;2;6;3;500;22;0.000375;0.000375;0.000375
6;2;10;3;500;22;0.000375;0.000375;0.000375
7;3;5;3;500;22;0.000375;0.000375;0.000375
8;3;3;3;500;22;0.000375;0.000375;0.000375
9;3;1;3;500;22;0.000375;0.000375;0.000375
10;4;3;3;500;22;0.000375;0.000375;0.000375
11;4;2;3;500;22;0.000375;0.000375;0.000375
12;4;9;3;500;22;0.000375;0.000375;0.000375
13;5;8;3;500;22;0.000375;0.000375;0.000375
14;5;5;3;500;22;0.000375;0.000375;0.000375
15;5;9;3;500;22;0.000375;0.000375;0.000375
16;6;2;3;500;22;0.000375;0.000375;0.000375
17;6;1;3;500;22;0.000375;0.000375;0.000375
18;6;10;3;500;22;0.000375;0.000375;0.000375
19;7;1;3;500;22;0.000375;0.000375;0.000375
20;7;5;3;500;22;0.000375;0.000375;0.000375
21;7;7;3;500;22;0.000375;0.000375;0.000375
22;8;8;3;500;22;0.000375;0.000375;0.000375
23;8;2;3;500;22;0.000375;0.000375;0.000375
24;8;10;3;500;22;0.000375;0.000375;0.000375
25;9;3;3;500;22;0.000375;0.000375;0.000375
26;9;5;3;500;22;0.000375;0.000375;0.000375
27;9;6;3;500;22;0.000375;0.000375;0.000375
28;10;7;3;500;22;0.000375;0.000375;0.000375
29;10;8;3;500;22;0.000375;0.000375;0.000375
30;10;10;3;500;22;0.000375;0.000375;0.000375
