index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;9;3;500;22;0.000375;0.000375;0.000375
2;4;14;3;5000;13;0.000375;0.000375;0.000375
3;6;18;3;5000;13;0.000375;0.000375;0.000375
4;13;6;3;5000;13;0.000375;0.000375;0.000375
5;6;16;3;5000;13;0.000375;0.000375;0.000375
6;9;14;3;5000;13;0.000375;0.000375;0.000375
7;16;11;3;5000;13;0.000375;0.000375;0.000375
8;10;16;3;500;22;0.000375;0.000375;0.000375
9;10;13;3;5000;13;0.000375;0.000375;0.000375
10;10;3;4;1000;16;0.0005;0.0005;0.0005
11;6;4;3;5000;13;0.000375;0.000375;0.000375
12;16;17;3;5000;13;0.000375;0.000375;0.000375
13;12;14;3;5000;13;0.000375;0.000375;0.000375
14;12;14;3;5000;13;0.000375;0.000375;0.000375
15;1;15;4;1000;16;0.0005;0.0005;0.0005
16;4;11;3;5000;13;0.000375;0.000375;0.000375
17;18;4;3;5000;13;0.000375;0.000375;0.000375
18;11;1;3;5000;13;0.000375;0.000375;0.000375
19;11;18;3;5000;13;0.000375;0.000375;0.000375
20;13;8;3;5000;13;0.000375;0.000375;0.000375
21;10;1;3;5000;13;0.000375;0.000375;0.000375
22;5;1;4;1000;16;0.0005;0.0005;0.0005
23;14;3;3;5000;13;0.000375;0.000375;0.000375
24;15;18;4;1000;16;0.0005;0.0005;0.0005
25;14;5;3;5000;13;0.000375;0.000375;0.000375
26;7;9;4;1000;16;0.0005;0.0005;0.0005
27;13;1;3;5000;13;0.000375;0.000375;0.000375
28;8;6;3;5000;13;0.000375;0.000375;0.000375
29;15;16;4;1000;16;0.0005;0.0005;0.0005
30;8;7;3;5000;13;0.000375;0.000375;0.000375
31;18;10;4;1000;16;0.0005;0.0005;0.0005
32;4;1;3;5000;13;0.000375;0.000375;0.000375
33;11;2;3;5000;13;0.000375;0.000375;0.000375
34;13;4;3;5000;13;0.000375;0.000375;0.000375
35;18;3;4;1000;16;0.0005;0.0005;0.0005
36;4;8;4;1000;16;0.0005;0.0005;0.0005
37;15;7;3;5000;13;0.000375;0.000375;0.000375
38;14;18;3;5000;13;0.000375;0.000375;0.000375
39;9;6;3;5000;13;0.000375;0.000375;0.000375
40;3;8;3;5000;13;0.000375;0.000375;0.000375
41;13;18;3;5000;13;0.000375;0.000375;0.000375
42;14;6;3;5000;13;0.000375;0.000375;0.000375
43;18;16;3;5000;13;0.000375;0.000375;0.000375
44;12;8;3;5000;13;0.000375;0.000375;0.000375
45;10;16;3;500;22;0.000375;0.000375;0.000375
46;6;15;3;5000;13;0.000375;0.000375;0.000375
47;16;18;3;5000;13;0.000375;0.000375;0.000375
48;3;15;3;5000;13;0.000375;0.000375;0.000375
49;13;3;3;5000;13;0.000375;0.000375;0.000375
50;8;7;3;5000;13;0.000375;0.000375;0.000375
51;18;16;3;5000;13;0.000375;0.000375;0.000375
52;2;10;3;500;22;0.000375;0.000375;0.000375
53;7;9;4;1000;16;0.0005;0.0005;0.0005
54;16;4;3;500;22;0.000375;0.000375;0.000375
55;7;2;4;1000;16;0.0005;0.0005;0.0005
56;9;5;4;1000;16;0.0005;0.0005;0.0005
57;9;11;3;5000;13;0.000375;0.000375;0.000375
58;6;1;3;5000;13;0.000375;0.000375;0.000375
59;11;1;3;5000;13;0.000375;0.000375;0.000375
60;9;3;4;1000;16;0.0005;0.0005;0.0005
61;12;4;3;5000;13;0.000375;0.000375;0.000375
62;15;3;3;5000;13;0.000375;0.000375;0.000375
63;1;5;4;1000;16;0.0005;0.0005;0.0005
64;10;16;3;500;22;0.000375;0.000375;0.000375
65;10;2;3;500;22;0.000375;0.000375;0.000375
66;1;17;3;500;22;0.000375;0.000375;0.000375
67;6;17;3;5000;13;0.000375;0.000375;0.000375
68;4;16;3;500;22;0.000375;0.000375;0.000375
69;11;3;3;500;22;0.000375;0.000375;0.000375
70;18;10;4;1000;16;0.0005;0.0005;0.0005
71;14;5;3;5000;13;0.000375;0.000375;0.000375
72;4;5;4;1000;16;0.0005;0.0005;0.0005
73;7;6;3;5000;13;0.000375;0.000375;0.000375
74;17;9;4;1000;16;0.0005;0.0005;0.0005
75;4;6;3;5000;13;0.000375;0.000375;0.000375
76;14;13;3;5000;13;0.000375;0.000375;0.000375
77;1;17;3;500;22;0.000375;0.000375;0.000375
78;8;5;3;5000;13;0.000375;0.000375;0.000375
79;2;18;4;1000;16;0.0005;0.0005;0.0005
80;12;18;3;5000;13;0.000375;0.000375;0.000375
